ID,designation_header,strain_number_header,is_type_strain_header,species,Cell length (µm),Cell Width (µm),Cell Shape,Reference,NCBI ID
158609.0,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1.0,Bacillus tamaricis,7-11,0.4-0.5,rod-shaped,65329.0,
134164.0,10b,"ATCC BAA 819, NCTC 13306",1.0,Bacillus tequilensis,4,0.9,rod-shaped,31639.0,227866
140573.0,RA9,"LMG 29736, CECT 9170",1.0,Bacillus terrae,2.4-3.0,0.8-1.1,rod-shaped,43172.0,1914933
133927.0,SgZ-7,"CCTCC AB 2012030, KACC 16700",1.0,Neobacillus thermocopriae,1.5,0.6,rod-shaped,30895.0,1215031
133982.0,SgZ-10,"CCTCC AB 2012110, KACC 16873, DSM 105453",1.0,Bacillus thermophilus,2.95,0.6,rod-shaped,30991.0,1245522
133977.0,SgZ-8,"CCTCC AB 2012108, KACC 16706",1.0,Bacillus thermotolerans,1.1,0.75,ovoid-shaped,30985.0,1221996
140962.0,N24,"MCCC 1A01406, KCTC 33711, LMG 28874",1.0,Bacillus tropicus,2.2-2.6,1.3-1.6,rod-shaped,43860.0,
1294.0,SU1,"DSM 25300, KCTC 13244, NBRC 102646",1.0,Alkalihalobacillus trypoxylicola,1.4,0.6,rod-shaped,29085.0,519424
132547.0,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1.0,Bacillus urumqiensis,1.2-2.1,0.6-0.7,rod-shaped,43633.0,1548213
1150.0,DV1-F-3,"DSM 11031, NRRL B-14890",1.0,Bacillus vallismortis,2.0-4.0,0.8-1.0,,23302.0,72361
23706.0,,"DSM 28326, CBMB205, KACC  17006, KACC 13105, NCCB 100236, KACC 17006",0.0,Bacillus velezensis,1.8-2.7,"2.5, 1.8-2.7",,,492670
,,,,,2.5,,,,
1258.0,15-1,"DSM 18898, CIP 108672, HSCC 1663, JCM 11124, NRIC 0531, NRRL B-23890",1.0,Bacillus vietnamensis,2.5,0.75,rod-shaped,30062.0,218284
1215.0,"IDA 3632, R-15447","DSM 15602, CIP 108806, LMG 21834",1.0,Neobacillus vireti,0.6-0.9,,,23312.0,1131730
1240.0,N-1,"DSM 2521, ATCC 21832, FERM P-1138, JCM 9140",1.0,Alkalihalobacillus wakoensis,1.75,0.65,rod-shaped,31483.0,288813
133012.0,FSL W8-0169,"DSM 102050, CIP 111364, LMG 29269",1.0,Bacillus wiedmannii,2.8,1.2,rod-shaped,25027.0,288813
140354.0,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1.0,Bacillus wudalianchiensis,1.2-2.5,0.7-0.8,rod-shaped,43454.0,1743143
140266.0,,"DSM 103964, CCM 8726, JJ-247, LMG 29876",1.0,Mesobacillus zeae,3.5,1,rod-shaped,43173.0,1917180
140879.0,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1.0,Bacillus zhangzhouensis,1.8-2,0.5-0.6,rod-shaped,43705.0,
133276.0,,"sw100, JCM 30597, MCCC 1K00501, KCTC 42424",1.0,Bacterioplanoides pacificum,1.3-1.4,0.3-0.4,vibrio-shaped,25126.0,1171596
140882.0,C13EG70,"LIPI12-4-Ck732, JSAT12-4-Ck732, InaCC B449, NBRC 110958",1.0,Bacteroides caecicola,0.4-20,0.4-0.8,rod-shaped,43707.0,1171596
1623.0,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1.0,Bacteroides cellulosilyticus,1.7,"1.7, 1.7",,,537012
1628.0,A 20,"DSM 22519, JCM 16067, CCUG 60911, YIT 12056",1.0,Bacteroides clarus,0.7-2.9,0.5-1,rod-shaped,29531.0,762984
1608.0,M16,"DSM 17136, JCM 12979, CCUG 54635",1.0,Phocaeicola coprocola,2.5,0.8,rod-shaped,31548.0,310298
1622.0,,"CCUG 55424, CB 42, DSM 18228, JCM 13818",1.0,Phocaeicola coprophilus,2.5-4.1,0.7-0.8,rod-shaped,32112.0,547042
1613.0,PC 139,"DSM 18011, CCUG 50528, JCM 13475, NRRL B-41113",1.0,Bacteroides coprosuis,1.9,1,rod-shaped,31598.0,679937
1612.0,175,"DSM 17855, JCM 13471, CCUG 53892",1.0,Phocaeicola dorei,1.6-4.2,0.8-1.2,rod-shaped,31780.0,357276
22936.0,ST37,"DSM 26883, CCUG 60873, JCM 17102",1.0,Bacteroides faecichinchillae,2.5,1.4,rod-shaped,30294.0,1236513
1631.0,MAJ27,"CCUG 60914, DSM 24798, JCM 16478, KCTC 5823",1.0,Bacteroides faecis,1.5-2,1,rod-shaped,29749.0,1077285
1610.0,199,"DSM 17565, JCM 13345, CCUG 53890",1.0,Bacteroides finegoldii,1.5-4.5,0.8,rod-shaped,31702.0,483215
1629.0,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057",1.0,Bacteroides fluxus,1-2.5,1-1.4,rod-shaped,29531.0,763034
140883.0,C13EG186,"LIPI12-4-Ck844, JSAT12-4-Ck884, InaCC B451, NBRC 110963",1.0,Bacteroides gallinaceum,0.8-5,0.8-1,rod-shaped,43707.0,763034
1624.0,XDT-1,"CCUG 60910, DSM 19988, JCM 15093",1.0,Bacteroides graminisolvens,2.85,0.5,rod-shaped,29190.0,477666
1609.0,341,"CCUG 53889, DSM 17393, JCM 13265",1.0,Bacteroides intestinalis,01-05,0.8,rod-shaped,31621.0,471870
158670.0,YS-aM39,"KCTC 15520, JCM 31393",1.0,Bacteroides koreensis,0.6-0.8,0.3-0.4,rod-shaped,65401.0,
158671.0,R2F3-3-3,"KCTC 15460, JCM 31391",1.0,Bacteroides kribbi,0.4-0.7,0.2-0.3,rod-shaped,65401.0,
1611.0,B84634,"DSM 17679, CCUG 48901, CIP 107942",1.0,Phocaeicola massiliensis,3,1.1,rod-shaped,31339.0,1121098
1630.0,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058",1.0,Bacteroides oleiciplenus,1.4-55.0,1-1.9,rod-shaped,29531.0,742727
1625.0,WK042,"DSM 21004, JCM 15092",1.0,Phocaeicola paurosaccharolyticus,3.15,0.75,rod-shaped,29851.0,1236498
1607.0,M12,"CCUG 54634, DSM 17135, JCM 12973",1.0,Phocaeicola plebeius,3,0.8,rod-shaped,31548.0,484018
1621.0,SV434,"DSM 19291, JCM 14649, CCUG 60909",1.0,Bacteroides propionicifaciens,1.7,0.75,rod-shaped,32432.0,392838
133840.0,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1.0,Bacteroides reticulotermitis,2.1,0.8,rod-shaped,30643.0,1445607
131249.0,ST161,"DSM 26884, CCUG 60872, JCM 17103",1.0,Bacteroides stercorirosoris,8.5,1.2,rod-shaped,30294.0,1236514
1626.0,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1.0,Bacteroides xylanisolvens,1.8-2.5,"2.15, 1.8-2.5",,,657309
,,,,,2.15,,,,
17640.0,17S,"DSM 16304, ATCC BAA 736, JCM 11970",1.0,Balnearium lithotrophicum,1.5-3.5,0.7-1,rod-shaped,29984.0,223788
133009.0,KHALHBd91,"DSM 28579, JCM 19909",1.0,Balneicella halophila,0.5-2.0,0.5-1.0,rod-shaped,24999.0,1537566
17739.0,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1.0,Balneola alkaliphila,2.6,0.7,rod-shaped,32479.0,455359
17738.0,13IX/A01/164,"DSM 17893, CIP 109092, OOB 256",1.0,Balneola vulgaris,02-03,0.2,rod-shaped,31789.0,287535
12519.0,,"DSM 21032, JCM 15079, YIT 11860",1.0,Barnesiella intestinihominis,1.3-3,0.4-1,rod-shaped,31196.0,487174
12518.0,C46,"CCUG 55593, DSM 18177, JCM 13660",1.0,Barnesiella viscericola,6.35,1.2,rod-shaped,31956.0,880074
3935.0,39,"DSM 24617, CGMCC 4.6864",1.0,Barrientosiimonas humi,1.25,0.315,coccus-shaped,30533.0,999931
22987.0,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1.0,Barrientosiimonas marina,0.55,0.55,coccus-shaped,30725.0,1163776
23781.0,KS2-1,"DSM 28537, JCM 17706, KCTC 23907",1.0,Bartonella acomydis,1.39,0.52,ovoid-shaped,30683.0,686234
1634.0,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1.0,Bartonella alsatica,1-2,0.5-0.8,rod-shaped,23143.0,52764
140945.0,PEB0122,"NCIMB 14961, DSM 29779",1.0,Bartonella apis,1.2-1.8,0.5,rod-shaped,43837.0,
23782.0,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1.0,Bartonella callosciuri,1.15,0.56,ovoid-shaped,30683.0,686223
1640.0,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1.0,Bartonella coopersplainsensis,1-2,"1-2, 1.6",,,481137
,,,,,1.6,,,,
23783.0,OY2-1,"DSM 28562, JCM 17712, KCTC 23655",1.0,Bartonella jaculi,1.45,0.59,ovoid-shaped,30683.0,686226
1643.0,Fuji 18-1,"DSM 23650, CIP 109861, JCM 15567",1.0,Bartonella japonica,0.74,0.36,rod-shaped,23362.0,686226
23784.0,FN15-2,"DSM 28563, JCM 17714, KCTC 23657",1.0,Bartonella pachyuromydis,1.35,0.59,ovoid-shaped,30683.0,931097
1641.0,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1.0,Bartonella queenslandensis,1-2,0.5,,23361.0,481138
1642.0,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1.0,Bartonella rattaustraliani,1-2,0.5,,23361.0,481139
1644.0,Fuji 23-1,"DSM 23649, CIP 109862, JCM 15566",1.0,Bartonella silvatica,1.16,0.43,rod-shaped,23362.0,357760
5363.0,,"DSM 19936, CCUG 55508, WCC 4188",1.0,Bavariicoccus seileri,1.05,1.05,coccus-shaped,29114.0,549685
1650.0,JSS,"DSM 25223, ATCC BAA 2330",1.0,Bdellovibrio exovorus,0.95,0.5,rod-shaped,30601.0,1184267
133124.0,D-402,"DSM 14946, UNIQEM U 779",1.0,Beggiatoa leptomitoformis,3.5-4.0,1.0-2.5,,25176.0,288004
1672.0,"BF-2819, Hilger","DSM 19635, CECT 7311, LMG 2819",1.0,Beijerinckia doebereinerae,3.25,1,rod-shaped,23151.0,1403274
17716.0,BA134,"DSM 15883, CIP 108006, LMG 21964",1.0,Belliella baltica,0.9-3,"0.9-3.0, 0.9-3",,,866536
,,,,,0.9-3.0,,,,
140946.0,5C,"VKM B-2724, KCTC 32194",1.0,Belliella buryatensis,2-5,0.4,rod-shaped,43838.0,
24721.0,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1.0,Belliella pelovolcani,3.5,0.3,rod-shaped,29260.0,529505
39.0,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1.0,Belnapia rosea,1.8,1.8,coccus-shaped,23242.0,938405
23491.0,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1.0,Belnapia soli,0.86,0.85,coccus-shaped,30823.0,1055355
11297.0,RED65,"DSM 23232, CCUG 52064, CECT 7074",1.0,Bermanella marisrubri,3.15,0.45,spiral-shaped,28937.0,207949
12009.0,ge10,"DSM 19037, CGMCC 1.6762",1.0,Bhargavaea beijingensis,1.25,0.65,coccus-shaped,32659.0,426756
12011.0,DSE10,"DSM 22132, JCM 14375, LMG 24411",1.0,Bhargavaea cecembensis,6,2,rod-shaped,28963.0,394098
12010.0,ge14,"DSM 19038, CGMCC 1.6763",1.0,Bhargavaea ginsengi,1.3,1.1,rod-shaped,32659.0,426757
23197.0,,"DSM 26128, CCM 8429, LMG 27071, ZMA 19",1.0,Bhargavaea ullalensis,2.5,0.9,rod-shaped,30812.0,1265685
1748.0,Eg1,"DSM 24849, JCM 15918, KCTC 5756",0.0,Bifidobacterium adolescentis,04-06,1,rod-shaped,29746.0,1437612
140310.0,RP115,"DSM 100238, CCM 8605, LMG 28779",1.0,Bifidobacterium apri,1.5-6.0,0.3-0.8,rod-shaped,43284.0,1769423
140884.0,R 54638,"LMG 28769, CCUG 67145",1.0,Bifidobacterium aquikefiri,1-2,0.5-1,rod-shaped,43708.0,
1739.0,BluCI/TP,"DSM 19703, ATCC BAA 1567, KCTC 15159",1.0,Bifidobacterium bombi,1,0.45,rod-shaped,28974.0,471511
158380.0,,"DSM 103152, JCM 31790, TRI 5",1.0,Bifidobacterium callitrichidarum,5-8,1-1.5,rod-shaped,65291.0,2052941
1726.0,Ru915B,"DSM 6492, ATCC 49391, CCUG 34976",1.0,Bifidobacterium merycicum,2.0-5.0,,rod-shaped,23364.0,78345
1747.0,,"DSM 21395, JCM 15461, YIT 10443",1.0,Bifidobacterium mongoliense,1.4,0.5,rod-shaped,29102.0,518643
1738.0,T16,"DSM 22366, LMG 21775, NCIMB 13940",1.0,Bifidobacterium psychraerophilum,1.1,0.85,rod-shaped,29919.0,9606
1723.0,Ru687,"DSM 6489, ATCC 49390, CCUG 34975",1.0,Bifidobacterium ruminantium,3.0-6.0,,rod-shaped,23364.0,78346
134133.0,APA1-,"ACAM 1056, CIP 108533",1.0,Bizionia algoritergicola,2,0.4,rod-shaped,31431.0,291187
5714.0,JUB59,"DSM 19628, CCM-A-29 1259",1.0,Bizionia argentinensis,02-03,0.2-0.4,rod-shaped,32510.0,1046627
158654.0,RA3-3-1,"KCTC 62140, NBRC 113024",1.0,Bizionia berychis,0.8-7,0.2-0.4,rod-shaped,65381.0,
5715.0,,"DSM 23925, KCTC 22015, KMM 6177, LMG 25220",1.0,Bizionia echini,1.4-3.5,0.4-0.5,rod-shaped,29440.0,649333
134126.0,IC164,"ACAM 107, CIP 108536",1.0,Bizionia gelidisalsuginis,2.5,0.45,rod-shaped,31431.0,291188
133837.0,T-y7,"KCTC 23881, CCUG 62110",1.0,Bizionia hallyeonensis,2.65,0.4,rod-shaped,30633.0,1123757
134125.0,ADA-4,"ACAM 1058, CIP 108535",1.0,Bizionia myxarmorum,2.5,0.4,rod-shaped,31431.0,291186
134127.0,HFD,"ACAM 1059, CIP 108534",1.0,Bizionia saleffrena,3.25,0.45,rod-shaped,31431.0,291189
140551.0,P131,"MCCC 1H00124, KCTC 42587",1.0,Bizionia sediminis,1-2,0.4-0.6,rod-shaped,43295.0,
23454.0,"A2-16, A2_16","DSM 25172, LMG 26944",1.0,Blastocatella fastidiosa,10,0.85,other,21410.0,1235480
159637.0,GP-S2-8,"DSM 106127, JCM 32354, KCCM 43275, KCTC 49078",1.0,Blastococcus litoris,0.9-1.1,,coccus-shaped,66720.0,2171622
140974.0,T2,"KCTC 42354, JCM 30467",1.0,Blastomonas fulva,1.0-3.0,0.4-0.7,rod-shaped,43866.0,
140358.0,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1.0,Blastomonas marina,0.9-1.4,0.5-0.6,ovoid-shaped,43475.0,1867408
133887.0,LHWP2,"KACC 15559, JCM 17758",1.0,Blastopirellula cremea,1.05,1,ovoid-shaped,30774.0,1031537
24769.0,M25,"DSM 27629, JCM 17205, KCTC 5980",1.0,Blautia faecis,1.65,0.65,ovoid-shaped,30457.0,871665
158642.0,KB1,"KCTC 15618, JCM 32276",1.0,Blautia hominis,0.8-1.1,0.9-1,ovoid-shaped,65367.0,871665
133713.0,GAM6-1,"KCTC 5981, JCM 17204",1.0,Blautia stercoris,1.5-2.5,0.5-0.8,coccus-shaped,30247.0,871664
1770.0,2017-12,"DSM 11294, CCUG 39178, HKI 88",1.0,Bogoriella caseilytica,1.0-2.5,0.5-0.8,rod-shaped,23155.0,56055
140538.0,,"JCM 31623, KCTC 52452, MRM 1",1.0,Bombella apis,1.0-2.5,0.5-0.6,rod-shaped,43324.0,
377.0,Hinz 591-77,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852",1.0,Bordetella avium,1-2,0.4-0.5,rod-shaped,23280.0,521
374.0,18323,"DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1.0,Bordetella pertussis,1.4,1.4,,,520
382.0,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA 461, CCM 7166",1.0,Bordetella petrii,1.0-2.8,0.4-0.7,rod-shaped,23282.0,94624
379.0,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506",1.0,Bordetella trematum,1-1.8,0.5-0.6,rod-shaped,22905.0,123899
14311.0,DN127,"DSM 17990, CIP 109136",1.0,Borrelia bissettiae,20,0.2,helical-shaped,43710.0,521010
14310.0,CA446,"DSM 17989, ATCC BAA 2689, CIP 109133",1.0,Borrelia californiensis,20,0.2,helical-shaped,43710.0,373543
14313.0,"CA28, CA28-91","DSM 17992, CIP 109135",1.0,Borrelia lanei,20,0.2,helical-shaped,43525.0,373540
14308.0,IST7,"DSM 16138, JCM 11958",1.0,Borrelia turcica,18,0.24,rod-shaped,30191.0,1104446
1791.0,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1.0,Bosea lathyri,1.2-2.0,0.6-0.8,rod-shaped,23325.0,1036778
1792.0,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1.0,Bosea lupini,1.2-1.5,0.8,rod-shaped,23325.0,946785
1787.0,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1.0,Bosea minatitlanensis,1.5-2.0,0.5,rod-shaped,23323.0,128782
1793.0,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1.0,Bosea robiniae,1.1-1.4,0.8,rod-shaped,23325.0,1036780
1786.0,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1.0,Bosea thiooxidans,1.4-1.6,0.85,rod-shaped,23322.0,53254
133432.0,W3-3A,"CGMCC 1.7086, LMG 24568, MCCC1A01018",1.0,Bowmanella pacifica,1.1-1.3,0.6-0.8,rod-shaped,28929.0,502051
159799.0,M1HQ-2,"KCTC 49087, CGMCC 1.16391",1.0,Brachybacterium endophyticum,0.7-1.5,,coccus-shaped,66743.0,2182385
140947.0,THG-S15-4,"KCTC 39563, CCTCC AB 2015116",1.0,Brachybacterium horti,0.5-0.8,,coccus-shaped,43840.0,
3915.0,phenol-A,"DSM 22299, BCRC 17589, JCM 15157, LMG 23707",1.0,Brachybacterium phenoliresistens,1.3,0.8,ovoid-shaped,32133.0,396014
3917.0,JG 06,"DSM 23186, IMCC 252, JCM 19544",1.0,Brachybacterium saurashtrense,0.55,0.55,coccus-shaped,29868.0,556288
2909.0,AIMA4,"DSM 19884, LMG 24400",1.0,Brachymonas chironomi,2,0.975,ovoid-shaped,29142.0,1121116
343.0,RKI 99-01984,"DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103",1.0,Brackiella oedipodis,0.9-1.1,,coccus-shaped,23267.0,124225
133983.0,,"IAM 13628, CCRC 13528, NRR LB-4361, NRRL B-4450, TAL 102, BCRC 13528, JCM 10833, TISTR 339, SEMIA 5032, 3I1B110, ACCC 15034, CCT 4249, NBRC 14792, R-12974, CNPSo 46, USDA 110",1.0,Bradyrhizobium diazoefficiens,1.35,1.35,rod-shaped,30992.0,
133742.0,,"LMG 26136, CGMCC 1.10948, HAMBI 3180, CCBAU 23303",1.0,Bradyrhizobium huanghuaihaiense,1.35,0.46,rod-shaped,30372.0,990078
1814.0,2281,"DSM 24092, CECT 4845, USDA 3622",1.0,Bradyrhizobium liaoningense,1.5-4.5,0.5,rod-shaped,23329.0,43992
141148.0,5-10,"LMG 28789, DSM 100300, NTCCM 0017",1.0,Bradyrhizobium namibiense,2-3,0.7,rod-shaped,44069.0,
1784.0,S58,"DSM 12412, ATCC 43045, JCM 1494, LMG 10732, NCIMB 12151, CCUG 57401",1.0,Bradyrhizobium oligotrophicum,4.5,0.8,,30681.0,1245469
159767.0,,"LMG 30283, DSM 105795, NTCCM 0019, WR 4",1.0,Bradyrhizobium ripae,2-4,0.6,rod-shaped,66681.0,2364026
132365.0,7-2,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1.0,Bradyrhizobium vignae,2-3,0.7,rod-shaped,44038.0,1549949
22967.0,BM,"DSM 24659, JCM 16868",1.0,Brassicibacter mesophilus,4.4,0.45,rod-shaped,30378.0,745119
22995.0,R-43656,"DSM 27058, BCC 845, FRB 141, LMG 26270, NCPPB 4484, R-43656",1.0,Brenneria goodwinii,1.15,0.8,rod-shaped,30518.0,1109412
140740.0,D8-10-2-5,"CFCC 11935, KCTC 42841",1.0,Brenneria populi subsp. brevivirga,1.3-1.5,0.6,rod-shaped,43518.0,
140739.0,D9-5,"CFCC 11963, KCTC 42088",1.0,Brenneria populi,1.3-1.5,0.6,rod-shaped,43518.0,
11441.0,PDF25,"DSM 24395, LMG 26289",1.0,Brevibacillus aydinogluensis,2-4.3,0.3-0.6,rod-shaped,30258.0,927786
132387.0,PDF4,"DSM 100115, NCCB 100559",1.0,Brevibacillus gelatini,2-3.5,0.8-1,rod-shaped,43776.0,1655277
133398.0,,"ACCC 06527, JCM 30849, LAM 0312",1.0,Brevibacillus halotolerans,1.5-4.0,0.2-0.8,rod-shaped,25284.0,1507437
11437.0,"Logan B-1657, R-12315","DSM 18918, CIP 108307, KCTC 13000, LMG 22481",1.0,Brevibacillus levickii,3.5,0.75,rod-shaped,31358.0,278990
23172.0,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1.0,Brevibacillus nitrificans,2.5,0.6,rod-shaped,30280.0,651560
11439.0,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1.0,Brevibacillus panacihumi,7,0.45,rod-shaped,28907.0,497735
132383.0,,"DSM 29928, CPCC 100738, YIM 78300",1.0,Brevibacillus sediminis,1.5-2.6,0.5-0.7,rod-shaped,43777.0,1707527
1868.0,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718",1.0,Brevibacterium album,4.5,1.8,rod-shaped,32244.0,1121122
133819.0,A1,"KEMC41-098, JCM 17537, KACC 15558",1.0,Brevibacterium ammoniilyticum,0.6,0.475,rod-shaped,30587.0,1046555
23808.0,2C6-41,"DSM 27938, JCM 17458, KCTC 19800",1.0,Brevibacterium daeguense,1.125,0.65,,30529.0,909936
159885.0,BS05,"KACC 18875, LMG 29562",1.0,Brevibacterium hankyongi,1.3-2.8,0.3-1.0,rod-shaped,66626.0,1007087
130226.0,SJ5-8,"DSM 29217, JCM 18571, KACC 16911",1.0,Brevibacterium jeotgali,1.1,0.5,rod-shaped,30994.0,1262550
1867.0,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221",1.0,Brevibacterium marinum,1.95,0.55,rod-shaped,32191.0,418643
1866.0,BBH7,"DSM 21578, IAM 15353, JCM 21798, LMG 23457",1.0,Brevibacterium oceani,2.5,1.1,rod-shaped,32043.0,
1860.0,R-5391,"DSM 16132, CIP 108823, LMG 22061",1.0,Brevibacterium picturae,2.75,1,coccus-shaped,31255.0,260553
1870.0,TP12,"DSM 21720, JCM 17808, NCCB 100255",1.0,Brevibacterium pityocampae,1,0.5,rod-shaped,29119.0,506594
1869.0,20,"DSM 21258, CCUG 56047, JCM 19110",1.0,Brevibacterium ravenspurgense,0.4-1.4,0.3-0.5,rod-shaped,24964.0,479117
1843.0,5401308,"DSM 23039, CCUG 53855, CIP 109422, CSUR P26",0.0,Brevibacterium ravenspurgense,0.9,0.4,rod-shaped,29171.0,1176165
1872.0,,"DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415",1.0,Brevibacterium salitolerans,1.3-1.8,0.6-1,rod-shaped,29758.0,1403566
133018.0,FXJ8.269,"DSM 102229, CGMCC 1.15472",1.0,Brevibacterium sediminis,0.7-1.2,0.4-0.5,rod-shaped,25089.0,1857024
22937.0,MB18,"DSM 23676, LMG 25772",1.0,Brevibacterium siliguriense,2,0.4,rod-shaped,30536.0,1136497
22938.0,MN-6-a,"DSM 24850, JCM 17779",1.0,Brevibacterium yomogidense,0.85,0.7,rod-shaped,30570.0,946573
133971.0,DC2c-G4,"NBRC 108608, CIP 110457",1.0,Brevifollis gellanilyticus,2.75,0.9,ovoid-shaped,30977.0,748831
132620.0,Ac_11_E3,"DSM 27934, LMG 28618",1.0,Brevitalea aridisoli,1.0-2.2,0.7-0.9,rod-shaped,43144.0,1458336
132621.0,Ac_16_C4,"DSM 29892, LMG 28995, LMG 29713",1.0,Brevitalea deliciosa,0.9-1.8,0.6-0.8,rod-shaped,43144.0,1603870
133873.0,TAR-001,"JCM 18150, CECT 8073",1.0,Brevundimonas abyssalis,2.75,0.4,,30734.0,1391729
140885.0,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1.0,Brevundimonas albigilva,1-2,0.3-0.4,rod-shaped,43711.0,
2318.0,EMB102,"DSM 17977, KCTC 12609",1.0,Brevundimonas aveniformis,1.5,0.35,rod-shaped,31972.0,370977
133379.0,,"DSM 29841, FDRGB2b, NCAIM B.02621",1.0,Brevundimonas balnearis,1.5-3.5,0.3-0.7,rod-shaped,25252.0,1572858
133414.0,GTAE24,"LMG 29500, CECT 9126",1.0,Brevundimonas canariensis,5.1-5.6,1.2-1.8,rod-shaped,25261.0,1904756
158618.0,CA-15,"KEMB 9005-528, KACC 19106, NBRC 112677",1.0,Brevundimonas humi,1.8-2.2,0.45-0.55,rod-shaped,65341.0,
2312.0,KSL-102,"DSM 17033, CIP 109906",1.0,Brevundimonas kwangchunensis,01-03,0.4-0.6,rod-shaped,31546.0,322163
2319.0,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1.0,Brevundimonas lenta,2.05,0.4,rod-shaped,32178.0,424796
2320.0,BIO-TAS2-2,"DSM 23858, CCUG 57609, KCTC 22631",1.0,Brevundimonas naejangsanensis,2.35,0.4,rod-shaped,29368.0,588932
2310.0,W1-2B,"DSM 14572, GTC 1043, JCM 11415",1.0,Brevundimonas nasdae,2.75,0.5,rod-shaped,30014.0,172043
133756.0,F3,"CGMCC 1.10683, JCM 17426",1.0,Brevundimonas viscosa,1.6,0.5,rod-shaped,30408.0,871741
23331.0,Kam1851,"DSM 22653, VKM B-2685",1.0,Brockia lithotrophica,2.25,0.35,rod-shaped,30656.0,933949
134292.0,,"BCCN94-74, NCTC 12891",1.0,Brucella ceti,1.05,0.6,ovoid-shaped,32291.0,120577
133528.0,BO1,"BCCN 09-01, CPAM 6436",1.0,Brucella inopinata,0.9,0.6,ovoid-shaped,29338.0,
134306.0,,"BCCN 07-01, CAPM 6434, CCM 4915",1.0,Brucella microti,1,0.65,rod-shaped,32345.0,
134291.0,,"BCCN94-73, NCTC 12890",1.0,Brucella pinnipedialis,1.05,0.6,ovoid-shaped,32291.0,120576
132528.0,F60,"DSM 101715, BCCN 09-2",1.0,Brucella vulpis,0.4-1.3,0.5-0.7,coccus-shaped,43648.0,
140708.0,N62,"KCTC 42589, MCCC 1H00117",1.0,Brumimicrobium aurantiacum,0.8-1.5,0.3-0.4,rod-shaped,43481.0,
133865.0,YH207,"KCCM 42331, JCM 14063",1.0,Brumimicrobium mesophilum,1.25,0.4,rod-shaped,30707.0,392717
159793.0,LHR20,"KCTC 62372T, MCCC 1H00247",1.0,Brumimicrobium salinarum,1.5-2.5,0.3-0.4,rod-shaped,66719.0,2058658
18092.0,,"DSM 18758, ATCC BAA 1390, MPL 3",1.0,Bryobacter aggregatus,1.05,0.65,coccus-shaped,29445.0,1340493
141.0,,"DSM 22489, LMG 25276, SN 10",1.0,Bryocella elongata,1.7-4.0,0.7-1.0,rod-shaped,23106.0,863522
22996.0,D9,"DSM 21983, CCM 7845",1.0,Budvicia diplopodorum,2.75,0.8,rod-shaped,30467.0,1119056
1947.0,"AU0645, R-5670","DSM 16088, CCUG 47727, LMG 18943",1.0,Burkholderia dolosa,2,,rod-shaped,30053.0,152500
141032.0,B15,"KCTC 52552, MCCC 1K03221",1.0,Butyratibacter algicola,0.4-1.5,0.4-0.6,ovoid-shaped,43914.0,
2871.0,25-3,"DSM 23266, CCUG 55265, LMG 24109",1.0,Butyricicoccus pullicaecorum,1.2-1.5,,coccus-shaped,32584.0,501571
