ID	designation	strain	type_strain	species	shape	reference	taxid	length	width	volume	surface
1860	R-5391	DSM 16132, CIP 108823, LMG 22061	1	Brevibacterium picturae	coccus-shaped	31255	260553	2.75	1.0	1.8980455615438332	8.63937979737193
1870	TP12	DSM 21720, JCM 17808, NCCB 100255	1	Brevibacterium pityocampae	rod-shaped	29119	506594	1.0	0.5	0.16362461737446837	1.5707963267948966
1869	20	DSM 21258, CCUG 56047, JCM 19110	1	Brevibacterium ravenspurgense	rod-shaped	24964	479117	0.7483314773547882	0.3872983346207417	0.07295155515414144	0.910520054524614
1843	5401308	DSM 23039, CCUG 53855, CIP 109422, CSUR P26	0	Brevibacterium ravenspurgense	rod-shaped	29171	1176165	0.9	0.4	0.09634217471008699	1.1309733552923256
1872		DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415	1	Brevibacterium salitolerans	rod-shaped	29758	1403566	1.5297058540778357	0.7745966692414834	0.5991835407194259	3.722489030088533
133018	FXJ8.269	DSM 102229, CGMCC 1.15472	1	Brevibacterium sediminis	rod-shaped	25089	1857024	0.916515138991168	0.4472135954999579	0.12054981227445498	1.287669809921399
22937	MB18	DSM 23676, LMG 25772	1	Brevibacterium siliguriense	rod-shaped	30536	1136497	2.0	0.4	0.23457225146803792	2.5132741228718345
22938	MN-6-a	DSM 24850, JCM 17779	1	Brevibacterium yomogidense	rod-shaped	30570	946573	0.85	0.7	0.23732114503992893	1.8692476288859268
133971	DC2c-G4	NBRC 108608, CIP 110457	1	Brevifollis gellanilyticus	ovoid-shaped	30977	748831	2.75	0.9	1.5586226552622364	7.7754418176347375
132620	Ac_11_E3	DSM 27934, LMG 28618	1	Brevitalea aridisoli	rod-shaped	43144	1458336	1.4832396974191326	0.7937253933193772	0.6029962546730986	3.6985499455745963
132621	Ac_16_C4	DSM 29892, LMG 28995, LMG 29713	1	Brevitalea deliciosa	rod-shaped	43144	1603870	1.2727922061357855	0.6928203230275509	0.392768987837861	2.770307633149626
133873	TAR-001	JCM 18150, CECT 8073	1	Brevundimonas abyssalis		30734	1391729	2.75	0.4	0.3288200310757317	3.4557519189487724
140885	NHI-13	KEME 9005-016, KACC 18249, JCM 30385	1	Brevundimonas albigilva	rod-shaped	43711		1.4142135623730951	0.34641016151377546	0.12240369195934567	1.5390597961942365
2318	EMB102	DSM 17977, KCTC 12609	1	Brevundimonas aveniformis	rod-shaped	31972	370977	1.5	0.35	0.13309226377239256	1.6493361431346414
133379		DSM 29841, FDRGB2b, NCAIM B.02621	1	Brevundimonas balnearis	rod-shaped	25252	1572858	2.29128784747792	0.458257569495584	0.3527163603759139	3.2986722862692823
133414	GTAE24	LMG 29500, CECT 9126	1	Brevundimonas canariensis	rod-shaped	25261	1904756	5.344155686354955	1.469693845669907	8.235054241757249	24.67492548441519
158618	CA-15	KEMB 9005-528, KACC 19106, NBRC 112677	1	Brevundimonas humi	rod-shaped	65341		1.98997487421324	0.49749371855331	0.3545880674645846	3.1101767270538954
2312	KSL-102	DSM 17033, CIP 109906	1	Brevundimonas kwangchunensis	rod-shaped	31546	322163	1.7320508075688772	0.4898979485566356	0.29570268963827445	2.6657297628950194
2319	DS-18	DSM 23960, JCM 14602, KCTC 12871	1	Brevundimonas lenta	rod-shaped	32178	424796	2.05	0.4	0.24085543677521748	2.57610597594363
2320	BIO-TAS2-2	DSM 23858, CCUG 57609, KCTC 22631	1	Brevundimonas naejangsanensis	rod-shaped	29368	588932	2.35	0.4	0.27855454861829504	2.9530970943744057
2310	W1-2B	DSM 14572, GTC 1043, JCM 11415	1	Brevundimonas nasdae	rod-shaped	30014	172043	2.75	0.5	0.507236313860852	4.319689898685965
133756	F3	CGMCC 1.10683, JCM 17426	1	Brevundimonas viscosa	rod-shaped	30408	871741	1.6	0.5	0.2814343418840856	2.5132741228718345
23331	Kam1851	DSM 22653, VKM B-2685	1	Brockia lithotrophica	rod-shaped	30656	933949	2.25	0.35	0.20525072003453312	2.474004214701962
134292		BCCN94-74, NCTC 12891	1	Brucella ceti	ovoid-shaped	32291	120577	1.05	0.6	0.2403318379996192	1.9792033717615698
133528	BO1	BCCN 09-01, CPAM 6436	1	Brucella inopinata	ovoid-shaped	29338		0.9	0.6	0.19792033717615695	1.6964600329384882
134306		BCCN 07-01, CAPM 6434, CCM 4915	1	Brucella microti	rod-shaped	32345		1.0	0.65	0.2599340671610805	2.0420352248333655
134291		BCCN94-73, NCTC 12890	1	Brucella pinnipedialis	ovoid-shaped	32291	120576	1.05	0.6	0.2403318379996192	1.9792033717615698
132528	F60	DSM 101715, BCCN 09-2	1	Brucella vulpis	coccus-shaped	43648		0.7211102550927979	0.5916079783099616	0.14401662219640798	1.3402492309261973
140708	N62	KCTC 42589, MCCC 1H00117	1	Brumimicrobium aurantiacum	rod-shaped	43481		1.0954451150103324	0.34641016151377546	0.09236047358641326	1.1921505918955322
133865	YH207	KCCM 42331, JCM 14063	1	Brumimicrobium mesophilum	rod-shaped	30707	392717	1.25	0.4	0.1403244718603441	1.5707963267948966
159793	LHR20	KCTC 62372T, MCCC 1H00247	1	Brumimicrobium salinarum	rod-shaped	66719	2058658	1.9364916731037085	0.34641016151377546	0.17162724423340722	2.107444419312218
18092		DSM 18758, ATCC BAA 1390, MPL 3	1	Bryobacter aggregatus	coccus-shaped	29445	1340493	1.05	0.65	0.2765256033628516	2.144136986075034
141		DSM 22489, LMG 25276, SN 10	1	Bryocella elongata	rod-shaped	23106	863522	2.6076809620810595	0.8366600265340756	1.2803215289216197	6.854145967893108
22996	D9	DSM 21983, CCM 7845	1	Budvicia diplopodorum	rod-shaped	30467	1119056	2.75	0.8	1.2482594810263445	6.911503837897545
141032	B15	KCTC 52552, MCCC 1K03221	1	Butyratibacter algicola	ovoid-shaped	43914		0.7745966692414834	0.4898979485566356	0.1152268364111653	1.192150591895532
2871	25-3	DSM 23266, CCUG 55265, LMG 24109	1	Butyricicoccus pullicaecorum	coccus-shaped	32584	501571	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.654866776461628
12522	MT01	DSM 23225, CCUG 56610, JCM 15148	1	Butyricimonas synergistica	rod-shaped	29161	544644	1.5	1.0	0.9162978572970228	4.71238898038469
12523	MT12	DSM 23226, CCUG 56611, JCM 15149	1	Butyricimonas virosa	rod-shaped	29161	544645	1.5	1.0	0.9162978572970228	4.71238898038469
22942	R27	DSM 25160, CGMCC 1.11013, LMG 27580	1	Caballeronia grimmiae	rod-shaped	30831	1071679	1.75	0.5	0.3108867730114899	2.748893571891069
133975		CCUG 63059, LMG 22934	1	Caballeronia humi	rod-shaped	30983	326475	1.75	0.7	0.5836817350982035	3.8484510006474966
159714	RPE64	NCIMB 15023, JCM 31142	1	Caballeronia insecticola	rod-shaped	66600	758793	2.7712812921102037	0.9	1.57216122833008	7.835613253491821
133976		CCUG 63060, LMG 22936	1	Caballeronia telluris	rod-shaped	30983	326475	1.75	0.7	0.5836817350982035	3.8484510006474966
133974		CCUG 63062, LMG 22937	1	Caballeronia terrestris	rod-shaped	30983	1226301	1.9	0.7	0.641408500107916	4.178318229274424
23817	OP-1	DSM 28073, CCTCC AB 2010354, KCTC 23300	1	Caballeronia zhejiangensis	rod-shaped	30412	871203	1.3	0.35	0.11385000876915509	1.429424657383356
132575	B157	DSM 101100, NBRC 111400	1	Caenibacillus caldisaponilyticus	rod-shaped	43606	1674942	4.949747468305833	0.648074069840786	1.5615000139854145	10.077610296454685
133087	CGII-59m2	DSM 29806, NCAIM B.02615	1	Caenimicrobium hargitense	rod-shaped	25218	1549637	1.1489125293076057	0.6928203230275509	0.3460674499195625	2.5006761782626343
3027	EMB320	DSM 17982, KCTC 12616	1	Caenimonas koreensis	rod-shaped	32387	1121255	1.4	0.5	0.2421644337142132	2.199114857512855
134240	K92T	KCTC 12839, JCM 14346	1	Caenispirillum bisanense	spiral-shaped	32067	414052	2.2135943621178655	0.5916079783099616	0.554284618991487	4.1141671754886495
133755	AK4	MTCC 10963, JCM 17360	1	Caenispirillum salinarum	ovoid-shaped	30406	1238182	4.0	1.0	2.8797932657906435	12.566370614359172
134179	HA6	CGMCC 1.4242, JCM 13486	1	Caldalkalibacillus thermarum	rod-shaped	31714	296745	4.415880433163924	0.5	0.8343311720225248	6.936448763979349
1498	JW/WZ-YB58	DSM 17740, ATCC BAA 1258	1	Caldalkalibacillus uzonensis	rod-shaped	32349	353224	8.75	0.75	3.7551849687440497	20.61670178918302
16797	K67	DSM 18923, VKM B-2408	1	Caldanaerobacter uzonensis	rod-shaped	29399	447594	2.5	0.4	0.2974041045398338	3.141592653589793
16851	JW/YJL-F3	DSM 17918, ATCC BAA 1278	1	Caldanaerobius fijiensis	rod-shaped	32332	456330	10.25	0.85	5.6555867247780744	27.371125994401073
16902	JW-Sb4, JW/SA-NV4	DSM 18802, ATCC BAA 1454	1	Caldanaerovirga acetigignens	rod-shaped	29060	447595	4.5	0.6	1.21579635693925	8.482300164692441
1324	Tf	DSM 16016	1	Caldibacillus debilis	rod-shaped	31293	301148	6.0	0.5	1.1453723216212788	9.42477796076938
18026	I77R1B	DSM 12137, ATCC 700853	1	Caldicellulosiruptor kristjanssonii	rod-shaped	43373	632335	5.130302135352264	0.8366600265340756	2.6672049544259235	13.484716959790827
18024	6A	DSM 9545	1	Caldicellulosiruptor lactoaceticus	rod-shaped	43351	632516	2.29128784747792	0.7	0.7919937109246765	5.038805148227342
140656	OB47	ATCC BAA 2073	1	Caldicellulosiruptor obsidiansis	rod-shaped	43401		2.0	0.2	0.06073745796940267	1.2566370614359172
23443	D2C22	DSM 24605, JCM 17646	1	Caldicoprobacter guelmensis	rod-shaped	30742	1170224	8.5	0.35	0.8065711888857043	9.346238144429634
17803	JW/HY-331	DSM 21659, ATCC BAA 1711	1	Caldicoprobacter oshimai	rod-shaped	29349	551788	9.0	0.45	1.4075316835786524	12.723450247038663
16896	DS	DSM 19393, VKM B-2460	1	Caldimicrobium rimae	rod-shaped	29094	444091	1.1	0.5	0.1832595714594046	1.7278759594743864
132490	TF1	DSM 29380, NBRC 110713	1	Caldimicrobium thiodismutans	rod-shaped	43669	1653476	1.4142135623730951	0.5477225575051661	0.29019819129028634	2.433467205584167
17798	AZM16c01	DSM 21853, NBRC 104410	1	Caldisericum exile		29275	693075	4.95	0.3	0.3428262983229862	4.665265090580843
2090	IC-154	DSM 15908, ANMR 0165, JCM 11604, MCC-UPLB 1331	1	Caldisphaera lagunensis	coccus-shaped	23168	1056495	0.938083151964686	0.938083151964686	0.4322376870047302	2.764601535159018
3846	Yu37-1	DSM 19672, NBRC 101217	1	Calditerrivibrio nitroreducens	ovoid-shaped	32572	768670	1.6733200530681511	0.4472135954999579	0.23942845018770023	2.3509526717077995
18091	MC	DSM 21940, VKM B-2536	1	Caldithrix palaeochoryensis	rod-shaped	29595	650508	6.928203230275509	0.2449489742783178	0.3226362360716736	5.331459525790039
158567		KCTC 52714, CGMCC 1.16330, YIM 72346	1	Caldovatus sediminis	ovoid-shaped	65268		1.296148139681572	0.5477225575051661	0.26237968144748663	2.230309534156422
140587	R161	JCM 31558, KACC 18906, KEMB 9005-404	1	Calidifontibacter terrae	coccus-shaped	43248	1813472	1.296148139681572	0.5656854249492381	0.27836680654666046	2.3034537820467853
2525	45B	DSM 22065, CCUG 57396	1	Caloramator boliviensis	rod-shaped	30291	568790	2.5	0.5	0.45814892864851153	3.9269908169872414
2524	VF08	DSM 25793, JCM 15828, KCTC 5735	1	Caloramator mitchellensis	rod-shaped	29876	908809	2.0	0.6	0.5089380098815465	3.7699111843077517
22962	USBA A	DSM 22093, CMPUJ U833	1	Caloramator quimbayensis	rod-shaped	30521	1147123	2.5	0.9	1.399579527174253	7.0685834705770345
18088	SGL43	DSM 23830, VKM B-2670	1	Caloribacterium cisternae	rod-shaped	30305	996765	2.5	0.4	0.2974041045398338	3.141592653589793
140271	KR	DSM 101605, VKM B-3022	1	Calorithrix insularis	rod-shaped	43174	1852309	6.324555320336759	0.2449489742783178	0.29418999848339744	4.866934411168334
1674	M 2040	DSM 22958, CCM 7696, CCUG 58638	1	Camelimonas lactis	rod-shaped	29647	659006	2.0	1.0	1.308996938995747	6.283185307179586
158813	THG-YT1	KACC 19471, CGMCC 1.16306	1	Camelliibacillus cellulosilyticus	rod-shaped	65577		8.12403840463596	0.7071067811865476	3.097742359974078	18.047075808450213
10428	TB-2	DSM 16658, JCM 12641	1	Caminibacter mediatlanticus	rod-shaped	31378	391592	1.5	0.75	0.5522330836388308	3.5342917352885173
10427	CR	DSM 15016	1	Caminibacter profundus	rod-shaped	29965	217041	1.3416407864998738	0.5	0.23070562893913354	2.107444419312218
133481	86/06	LMG 24591, CCUG 56292	1	Campylobacter avium	spiral-shaped	29151	522484	1.7320508075688772	0.28284271247461906	0.1029041179365086	1.539059796194237
2139	L266	DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211	1	Campylobacter canadensis	ovoid-shaped	32164	449520	1.65	0.55	0.3484549851606679	2.8509953331327376
2140	150B	CIP 110020, DSM 23162, CCUG 56289, LMG 24588	1	Campylobacter cuniculorum	rod-shaped	29146	1121267	2.5039968051097827	0.28284271247461906	0.1514069154333597	2.224992936525063
133218		HV10, NCTC 13823, CIP 111092	1	Campylobacter hepaticus		25036		1.0954451150103321	0.34641016151377546	0.09236047358641325	1.192150591895532
2138	CH001A	DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146	1	Campylobacter hominis	rod-shaped	23069	76517	0.9486832980505138	0.3535533905932738	0.08156675734038439	1.053722209656109
2137	80-4577-4	DSM 19053, ATCC 35217, CCUG 14169, CIP 103750, LMG 7817, NCTC 11608, LMG 6445	1	Campylobacter hyointestinalis	rod-shaped	23070	198	1.7320508075688772	0.31622776601683794	0.12775612876273623	1.720721162863643
140602	WBE38	CECT 9147, LMG 29815, CCUG 69482	1	Campylobacter ornithocola	rod-shaped	43276	205	1.8973665961010275	0.3872983346207417	0.20831906594551122	2.3085896942913555
2136	SU A4	DSM 19458, ATCC 51146, CCUG 30254, JCM 12989	1	Campylobacter showae	rod-shaped	23068	204	3.1622776601683795	0.6324555320336759	0.9272282381409694	6.283185307179587
390	BZ59	DSM 22805, CGMCC 1.10190, LMG 26046	1	Candidimonas bauzanensis	rod-shaped	30451	658167	1.55	0.8	0.6450736915371041	3.8955748904513436
5495		DSM 22902, CCUG 51857, NCTC 13375, AHN 8855	1	Capnocytophaga leadbetteri	rod-shaped	32357	327575	4.0	0.4	0.48589966375522137	5.026548245743669
17981		DSM 23132, VKM B-2609, SLM 61	1	Carboxydocella manganica	rod-shaped	29970	744873	2.449489742783178	0.5477225575051661	0.5341293945012475	4.214888838624435
17980	Kar	DSM 16521, VKM B-2358	1	Carboxydocella sporoproducens	rod-shaped	31646	285110	2.449489742783178	0.5	0.44823126283580533	3.847649490485592
16808	1315	DSM 21278, VKM B-2474, VKPM 9905B	1	Carboxydothermus siderophilus	rod-shaped	28890	441616	1.1	0.5	0.1832595714594046	1.7278759594743864
133257		Q15, CICC 23923, KCTC 42707	1	Carboxylicivirga flava	rod-shaped	25073	1740245	6.837397165588672	0.4242640687119285	0.9466212785072945	9.113326562521886
158815	JR1	MCCC 1K03323, KCTC 52869	1	Carboxylicivirga sediminis	rod-shaped	65579		5.5677643628300215	0.2	0.17282208108946534	3.49832952383717
158403	CP-1	DSM 103363, CGMCC 1.15643	1	Carnobacterium antarcticum	rod-shaped	65473	2126436	1.224744871391589	0.8944271909999159	0.5822015052693656	3.4414423257272855
2271	MS3	DSM 23388, JCM 15539, KCTC 13251	1	Carnobacterium jeotgali		29280	1449340	3.5	0.75	1.4358060174609601	8.246680715673207
349	Ho-11	DSM 22240, KCTC 12197, LMG 23411	1	Castellaniella caeni	rod-shaped	23268	266123	1.5491933384829668	0.3872983346207417	0.1673008703839115	1.884955592153876
351	MJ06	DSM 25289, JCM 16240, KCTC 22454	1	Castellaniella daejeonensis	rod-shaped	23270	659013	1.5427248620541512	0.3872983346207417	0.1665388209578358	1.8770851795240675
348	NKNTAU	CIP 109221, DSM 11046, CCUG 39541	1	Castellaniella denitrificans	rod-shaped	31661	56119	1.61245154965971	0.4	0.18587147688807132	2.0262663770721687
158759	CC-YTH191	BCRC 81023, JCM 31755	1	Castellaniella fermenti		65511		2.445403852127497	1.0392304845413265	1.7804294527581166	7.9838495141125705
350		DSM 23970, JCM 15515, KCTC 22398, DCY 36	1	Castellaniella ginsengisoli	rod-shaped	23269	546114	2.0	0.7483314773547882	0.7699348183254447	4.701905343415598
22904	E103	DSM 25756, CCUG 62394, LMG 26910	1	Castellaniella hirudinis	rod-shaped	30662	1144617	1.0	0.5	0.16362461737446837	1.5707963267948966
139755	CG19-1	DSM 106146, CCUG 71490, JCM 33534	1	Catenibacillus scindens	rod-shaped	66717	673271	1.4142135623730951	0.7745966692414834	0.5447590804445467	3.4414423257272864
140748	D2	KCTC 42869, MCCC 1H00129	1	Catenovulum sediminis	rod-shaped	43526		2.1213203435596424	0.916515138991168	1.1979559195907914	6.107954210381554
17636	ID 139908	DSM 44928, NRRL B-24433	1	Catenulispora acidiphila	rod-shaped	31588	479433	0.6324555320336759	0.5	0.09145742984755759	0.9934588265796102
133973	H-E3-2	KCTC 32211, JCM 18689	1	Caulobacter daechungensis	rod-shaped	30981	1249558	1.55	0.6	0.3817035074111599	2.9216811678385075
140608	7F14	CGMCC 1.15915, KCTC 52515	1	Caulobacter rhizosphaerae	rod-shaped	43261	2010972	2.4000000000000004	1.1958260743101399	2.2478013529188665	9.01631618405726
132488		DSM 101949, CCUG 39713	1	Caviibacter abscessus	rod-shaped	43670		0.92	0.47	0.13243410011146553	1.3584246634122266
24724	RQ-33	DSM 21411, LMG 24596	1	Cecembia calidifontis	rod-shaped	30797	1187080	2.0	0.6	0.5089380098815465	3.7699111843077517
133802	LW9	CCUG 58316, KCTC 22772	1	Cecembia lonarensis	rod-shaped	30554	645110	2.25	0.55	0.4910047518173048	3.8877209088173696
23239	L-6	DSM 27375, CCUG 60799, KCTC 23497	1	Celeribacter baekdonensis	ovoid-shaped	30275	875171	2.0	0.8	0.8712683625955694	5.026548245743669
13861	ZXM137	DSM 26270, CGMCC 1.8891, LMG 24854	1	Celeribacter halophilus	rod-shaped	29904	576117	0.8	0.3	0.04948008429403924	0.7539822368615504
13855	H 14	DSM 26471, CIP 109922, KMM 6012	1	Celeribacter neptunius	rod-shaped	29493	588602	1.2000000000000002	0.6000000000000001	0.28274333882308145	2.2619467105846516
140857	SBU1	MCCC1A00672, DSM 100434, MCCC 1A00672	1	Celeribacter persicus	rod-shaped	43671	1651082	0.8485281374238571	0.4472135954999579	0.10987043904128191	1.1921505918955322
24746	C7	DSM 21888, VKM B-2511	1	Celerinatantimonas yamalensis	rod-shaped	30856	559956	3.0	0.75	1.214912784005428	7.0685834705770345
2373	5420S-23	DSM 18649, KACC 20692	1	Cellulomonas aerilata	ovoid-shaped	31209	515326	1.3	0.9	0.6361725123519332	3.675663404700058
2375	T26	DSM 26485, CCTCC AB 2010450, CGMCC 1.10786, KCTC 19824	1	Cellulomonas carbonis	rod-shaped	30392	947969	2.2	0.65	0.6581309360035869	4.4924774946334045
2372	XBU-b	DSM 17922, KCTC 19133	1	Cellulomonas chitinilytica	rod-shaped	31988	1305865	1.8165902124584952	0.4898979485566356	0.311637992038679	2.7958409621548164
140657		ATCC 13127	1	Cellulomonas gilvus	rod-shaped	43414		2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420816
2376	Kc5	DSM 24482, JCM 17534	1	Cellulomonas oligotrophica	rod-shaped	30542	931536	6.0	2.0	16.755160819145562	37.69911184307752
2377	Kc1	DSM 24484, JCM 17535	1	Cellulomonas soli	rod-shaped	30542	931535	6.0	1.5	9.719302272043423	28.274333882308138
2368	XIL11	DSM 16933, CECT 5729, LMG 21723	1	Cellulomonas xylanilytica	rod-shaped	30038	233583	2.4	1.4	2.97613544050073	10.555751316061704
5500	IC166	DSM 14237, ACAM 630	1	Cellulophaga algicola	rod-shaped	43416	688270	2.449489742783178	0.4472135954999579	0.3613488999450901	3.4414423257272855
5501	NN015840	DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610	1	Cellulophaga baltica	rod-shaped	43372	76594	3.146426544510455	0.6928203230275509	1.099112492592033	6.848383759251274
133730	M-M6	KCTC 23498, CCUG 60801	1	Cellulophaga geojensis	rod-shaped	30318	935699	4.0	0.65	1.255426239267346	8.168140899333462
5499	Cy l20, LIM -21	DSM 7489, ATCC 23178, IAM 14306	1	Cellulophaga lytica	rod-shaped	43342	867900	2.7386127875258306	0.5656854249492381	0.6408977138051014	4.866934411168335
133654		JCM 11735, LMG 21938, KMM 3664	1	Cellulophaga pacifica	rod-shaped	29950	219707	4.0	0.6	1.0744246875277093	7.5398223686155035
5503	EM41	DSM 21164, KCTC 22297	1	Cellulophaga tyrosinoxydans	rod-shaped	28984	504486	1.75	0.5	0.3108867730114899	2.748893571891069
133658	A6	TISTR 1915, KCTC 5874	1	Cellulosibacter alkalithermophilus	rod-shaped	29982	630405	2.5	0.25	0.11862784759648957	1.9634954084936207
133558	H1	CGMCC 1.5065, JCM 14822	1	Cellulosilyticum ruminicola	rod-shaped	29516	1294025	3.25	0.65	1.0065531962407797	6.636614480708438
12581	C8821, W6122	DSM 16025, ATCC BAA 886, CCUG 50705	1	Cellulosimicrobium funkei	rod-shaped	31606	264251	1.0	1.0	0.5235987755982988	3.141592653589793
12582	DS-61	DSM 18665, KCTC 19206	1	Cellulosimicrobium terreum	coccus-shaped	32055	412439	1.2	0.6	0.2827433388230814	2.261946710584651
140697	MVW-40	BCRC 80977, LMG 29557, KCTC 52237	1	Cellvibrio fontiphilus	rod-shaped	43467		2.1213203435596424	0.7071067811865476	0.7404804896930612	4.71238898038469
140658		NCDO 2697, NCIMB 10462	1	Cellvibrio japonicus	rod-shaped	43405		1.8973665961010275	0.5916079783099616	0.46735697166577106	3.526429007561699
140168	CV41	DSM 100879, ATCC TSD-39, NCIMB 15005	1	Cephaloticoccus capnophilus	coccus-shaped	43581	1548208	0.5477225575051661	0.5477225575051661	0.08603605814318212	0.9424777960769378
140800	CAG34	NCIMB 15004, ATCC TSD-38	1	Cephaloticoccus primus	coccus-shaped	43581		0.5477225575051661	0.5477225575051661	0.08603605814318212	0.9424777960769378
1325	BLxT	DSM 15825, IAM 15044	1	Cerasibacillus quisquiliarum	rod-shaped	30050	227865	3.75	0.8	1.7509143056007115	9.42477796076938
134262	YM26-026	MBIC 082805, KCTC 12870	1	Cerasicoccus arenae	coccus-shaped	32194	424488	0.9	0.9	0.3817035074111599	2.5446900494077327
133666	311	CCTCC AB 207142, KACC 15456	1	Cesiribacter roseus	rod-shaped	30023	877549	2.1213203435596424	0.4472135954999579	0.30980017125840836	2.98037647973883
158533	SM1355	JCM 30336, CCTCC AB 2014246	1	Changchengzhania lutea	rod-shaped	65218		2.1213203435596424	0.4898979485566356	0.3690782685103682	3.2648388556215915
132550	RB-25	DSM 28811, LMG 28304	1	Chania multitudinisentens	rod-shaped	43634	1441930	8.215838362577491	3.4641016151377544	66.5496561434586	89.4112943921649
11897		DSM 9103, VKM B-2394	1	Chelativorans multitrophicus	rod-shaped	28982	449973	1.35	0.75	0.48596511360217115	3.1808625617596658
133437	LPM-4	VKM B-2395, DSM 19276	1	Chelativorans oligotrophicus	rod-shaped	28982	449974	1.35	0.75	0.48596511360217115	3.1808625617596658
133085	PC-2	DSM 101465, CGMCC 1.15283	1	Chelatococcus composti	rod-shaped	25241	1743235	2.244994432064365	0.8944271909999159	1.223243210196927	6.308267982988063
1654	K106	DSM 22069, CCUG 54519, KCTC 12979	1	Chelatococcus daeguensis	rod-shaped	23146	444444	2.0	0.4242640687119285	0.2627503656013687	2.66572976289502
133219		DSM 105737, JCM 30308, B2974, CGMCC 1.12919	1	Chelatococcus reniformis	other	25011	1494448	1.571623364550171	0.4898979485566356	0.26546282905296864	2.418822335138686
1653	HT4	DSM 18167, JCM 14988	1	Chelatococcus sambhunathii	rod-shaped	23363	363953	2.4919871588754225	0.8944271909999159	1.3784333174048728	7.002299241292958
132989		DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1	1	Chenggangzhangella methanolivorans	rod-shaped	43584	1437009	1.469693845669907	0.9486832980505138	0.8153371264506974	4.380240970051501
140684	J15A17	KCTC 33759, MCCC 1H00137	1	Chengkuizengella sediminis	rod-shaped	43450		1.4142135623730951	0.31622776601683794	0.10279324989912907	1.4049629462081454
10448	TNR-14	DSM 22217, BCRC 17968, LMG 25206	1	Chitinibacter alvei	rod-shaped	29575	591203	1.65	0.6	0.4099778412934679	3.110176727053895
133181	STM-7	STM-7, BCRC 80923, LMG 29289, KCTC 42982, DSM 107335	1	Chitinibacter fontanus	rod-shaped	24960	1737446	1.1224972160321824	0.4898979485566356	0.18080454452981723	1.7275903365350889
10447	S1	DSM 15459, BCRC 17254	1	Chitinibacter tainanensis	rod-shaped	30017	230667	1.95	0.7	0.6606507551111535	4.288273972150067
10523	c14	DSM 21506, BCRC 17533, LMG 23346	1	Chitinilyticum aquatile	rod-shaped	32232	362520	3.25	0.35	0.3014619950507205	3.5735616434583894
10524	c1	DSM 21440, BCRC 17609	1	Chitinilyticum litopenaei	rod-shaped	29054	529086	3.75	0.4	0.45448373721932345	4.71238898038469
158568	H2	KCTC 52574, LMG 29894	1	Chitinimonas lacunae	rod-shaped	65269		1.2409673645990857	0.34641016151377546	0.1060756224936699	1.3505194901671405
23450	KL-9	DSM 27165, BCRC 80168, LMG 25530	1	Chitinivorax tropicus	rod-shaped	30230	714531	3.0	0.35	0.27740917629667367	3.2986722862692828
159860	13	CICC 24262, KCTC 62265	1	Chitinophaga caeni	rod-shaped	66577	2029983	2.3916521486202797	0.4898979485566356	0.4200346132789781	3.680895668423036
133826	R156-2	ACCC 05363, KCTC 23738	1	Chitinophaga cymbidii	rod-shaped	30612	1096750	4.15	0.3	0.28627763055836997	3.911282853719293
17747	M1-09	DSM 18108, KCTC 12654	1	Chitinophaga ginsengisegetis	rod-shaped	31941	393003	1.2	0.5	0.2028945255443408	1.8849555921538759
17750	JS13-10	DSM 24787, JCM 15440, KACC 12952	1	Chitinophaga niabensis	rod-shaped	29045	536979	4.0	0.6	1.0744246875277093	7.5398223686155035
17751	JS16-4	DSM 24859, JCM 15441, KACC 12954	1	Chitinophaga niastensis	rod-shaped	29045	536980	7.0	0.65	2.250918411373612	14.294246573833558
133769	YC7001	KACC 14533, JCM 16595	1	Chitinophaga oryziterrae	rod-shaped	30453	1031224	4.1	0.35	0.3832415788144798	4.5081854579013525
159794	LY-1	CCTCC AB 2018018, KCTC 62444	1	Chitinophaga parva	rod-shaped	66721	2169414	1.0392304845413265	0.4472135954999579	0.13982589367761053	1.4600803233505004
17740		DSM 2588, ATCC 43595, IFO 15968, NBRC 15968, UQM 2034	1	Chitinophaga pinensis	rod-shaped	43362	79329	40.0	0.6324555320336759	12.500140025920533	79.47670612636881
140710	T16R-86	KACC 18790, JCM 31600	1	Chitinophaga rhizosphaerae	rod-shaped	43485		1.8973665961010275	0.5477225575051661	0.40403844288923335	3.2648388556215915
17752	CS5-B1	DSM 21039, KCTC 22170	1	Chitinophaga rupis	rod-shaped	29339	573321	1.45	0.55	0.3009383962751223	2.50542014123786
140711	TFL-3	ACCC 19966, KCTC 52590	1	Chitinophaga sedimenti	rod-shaped	43486		3.0983866769659336	0.5916079783099616	0.7975046096659343	5.7586344551169635
17749	KP01	DSM 23920, KCTC 12836, LMG 24015	1	Chitinophaga terrae	rod-shaped	32099	408074	0.7	0.4	0.07120943348136864	0.879645943005142
