taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
taxid94254	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	coccus-shaped	Dyadobacter fermentans	Dyadobacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000023125	6967790.0	51.54	5865.0	90.76367112097236	4.0	-0.80491182181503	0.318623391581201
taxid94624	1.6733200530681511	0.5291502622129179	0.32919355889132856	2.781684714422908	rod-shaped	Bordetella petrii	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000067205	5287950.0	65.48	5073.0	90.0234306300173	3.0	-0.391058377451945	0.157018222191968
taxid94694	1.2446659545769567	1.2446659545769567	1.009617927456712	4.866934411168334	coccus-shaped	Desulfurococcus amylolyticus	Desulfurococcus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	N2212	1365223.0	45.17	1434.0	88.83504615947224	1.0	-0.0349175112557043	0.00984679817843148
taxid96345	2.23606797749979	0.4472135954999579	0.32782468744856724	3.1415926535897927	rod-shaped	Flavobacterium psychrophilum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000064305	2860382.0	32.53	2514.0	87.04249991784313	6.0	-0.408378240414553	0.17432658804657802
taxid96468	1.2000000000000002	0.4898979485566356	0.1954134751345804	1.846871755433084	rods	Nocardia vinacea	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G000308835	10155283.0	65.47	9428.0	88.722549632541	1.0	-0.486665571359421	0.15968126366191102
taxid100053	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira alexanderi	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000243815	4223825.0	40.2	4049.0	83.17681248631276	1.0	-0.199110664763624	0.0911613577867075
taxid101385	3.1622776601683795	0.4472135954999579	0.473313364186336	4.442882938158366	filament-shaped	Aequorivita sublithincola	Aequorivita	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000265385	3520671.0	36.19	3200.0	89.94603585509694	2.0	-0.283508682119465	0.13295723683194197
taxid101489	1.3416407864998738	0.4898979485566356	0.2221121343935814	2.064865395436372	rods	Xylanimicrobium pachnodae	Xylanimicrobium	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G001592145	4004833.0	71.94	3675.0	91.78749775583653	1.0	-0.337695849267784	0.119852325980524
taxid102116	30.000000000000004	30.000000000000004	14137.16694115406	2827.4333882308138	sphere/spheroid	Stanieria cyanosphaera	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000317575	5544990.0	36.22	4986.0	83.81831166512472	2.0	-0.0634904535130894	0.0327672428656544
taxid102125	15.0	15.0	1767.1458676442585	706.8583470577032	sphere/spheroid	Xenococcus sp. PCC 7305	Xenococcus	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000332055	5929641.0	39.68	5361.0	86.24307947142162	1.0	-0.073626218207558	0.0356993458578586
taxid102129	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	sphere/spheroid	Leptolyngbya sp. PCC 7375	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000316115	9422968.0	47.62	8518.0	84.42868531443595	3.0	-0.24518155446173898	0.108025737088468
taxid102232	6.4807406984078595	6.4807406984078595	142.51893157556958	131.94689145077135	sphere/spheroid	Gloeocapsa sp. PCC 73106	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000332035	4025114.0	41.11	4099.0	90.3288950325382	1.0	-0.181295647639748	0.0856828236405559
taxid102235	1.933907960581372	1.933907960581372	3.787093482647984	11.749556524425829	sphere/spheroid	Cyanobacterium stanieri	Cyanobacterium	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000317655	3163381.0	38.66	2886.0	87.13395572648379	3.0	-0.274022973995528	0.13095177574824599
taxid103690	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Nostoc sp. PCC 7120 = FACHB-418	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria	species	G000009705	7211789.0	41.27	6159.0	82.71693750330189	4.0	-0.164443715364596	0.0878826609435736
taxid104270	6.324555320336758	0.5	1.209098609749619	9.9345882657961	rod-shaped	Tenacibaculum ovolyticum	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000430545	4124462.0	29.55	3693.0	89.72937561311025	1.0	-0.296255384538474	0.145906850332226
taxid104628	4.5	1.05	3.593491121854601	14.844025288211773	spiral-shaped	Helicobacter suis	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G000187625	1635292.0	39.91	1725.0	92.09034227526337	1.0	-0.0299814025581315	0.0137205743787369
taxid105560	1.4142135623730951	0.5	0.2449552601600041	2.221441469079183	rod-shaped	Methylibium petroleiphilum	Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000015725	4643639.0	68.78	4507.0	91.4925126608679	1.0	-0.18870088187350698	0.0755245827131383
taxid107401	6.70820393249937	0.4472135954999579	1.0303061605526398	9.424777960769381	rod-shaped	Tenacibaculum maritimum	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000509405	3225035.0	31.8	2917.0	89.41465751534479	1.0	-0.298841850497228	0.139718139703522
taxid107709	0.6000000000000001	0.6000000000000001	0.1130973355292326	1.1309733552923258	spherical	Opitutus terrae	Opitutus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria	species	G000019965	5957605.0	65.34	4672.0	88.72521760002552	1.0	-0.28432947229572	0.102788458891446
taxid111501	1.7233687939614089	0.4242640687119285	0.2236425501923652	2.297017743253712	rod-shaped	Muricauda ruestringensis	Muricauda	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000224085	3842422.0	41.36	3478.0	90.76056716310705	2.0	-0.311536059675853	0.14853278679114998
taxid111564	2.449489742783178	2.449489742783178	7.695298980971184	18.849555921538755	coccus	Kineosphaera limosa	Kineosphaera	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000298215	4847237.0	70.43	4441.0	89.57406043896759	1.0	-0.270635870148239	0.095202266176784
taxid111781	1.5297058540778357	1.5297058540778357	1.8742279425964488	7.351326809400117	sphere/spheroid	Leptolyngbya sp. PCC 7376	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000316605	5125950.0	43.87	4720.0	85.87615954115823	2.0	-0.365380524793437	0.155220410450716
taxid114616	1.25	0.9	0.6043638867343365	3.5342917352885173	rod-shaped	Methylobacterium nodulans	Methylobacterium	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000022085	8839022.0	68.44	8636.0	82.04407682207375	7.0	-0.260662983666878	0.0967363240028384
taxid118163	4.898979485566356	4.898979485566356	61.56239184776946	75.39822368615499	sphere/spheroid	Pleurocapsa sp. PCC 7327	Pleurocapsa	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000317025	4986817.0	45.19	4607.0	84.24570221846922	3.0	-0.0702760563208866	0.0349971128993926
taxid118173	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	sphere/spheroid	Pseudanabaena sp. PCC 6802	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000332175	5621883.0	47.83	5327.0	86.458149342489	2.0	-0.105409459755824	0.0464393276807809
taxid118322	15.491933384829665	15.491933384829665	1946.773764467333	753.9822368615503	sphere/spheroid	Lyngbya aestuarii	Lyngbya	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000478195	6867625.0	41.16	5949.0	84.1482608616516	1.0	-0.10895444866455	0.062462194236606
taxid118323	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	sphere/spheroid	Oscillatoria acuminata	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000317105	7804270.0	47.61	6006.0	81.04348004361714	3.0	-0.14970396396841698	0.0731345106971635
taxid118562	8.48528137423857	8.48528137423857	319.8875715474024	226.19467105846505	sphere/spheroid	Arthrospira platensis	Arthrospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	N5454	6520772.0	44.27	6257.0	81.87042883879394	2.0	-0.120344895871404	0.0586168323311703
taxid121292	0.7	0.7	0.1795943800302165	1.5393804002589986	sphere	Pseudarthrobacter sulfonivorans	Pseudarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G001484605	5056151.0	64.64	4633.0	88.45315339672409	5.0	-0.61136114364793	0.19745984682740803
taxid121719	2.8284271247461903	0.4242640687119285	0.3798664912125403	3.7699111843077517	rod-shaped	Pannonibacter phragmitetus	Pannonibacter	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001484065	5669701.0	63.37	5131.0	87.62610232885298	3.0	-0.40836384940228204	0.159278122359372
taxid123899	1.3416407864998738	0.5477225575051661	0.2730986338252415	2.308589694291355	rod-shaped	Bordetella trematum	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G900078695	4485537.0	65.54	4130.0	90.61162576520937	5.0	-0.512149735415317	0.196510251482527
taxid124225	0.99498743710662	0.99498743710662	0.5157644617666685	3.110176727053896	coccus-shaped	Brackiella oedipodis	Brackiella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000621025	1922095.0	46.51	1679.0	89.37544710329094	1.0	-0.531375894853366	0.21618468371004498
taxid126333	2.449489742783178	0.6324555320336759	0.7032993096584776	4.866934411168334	vibrio-shaped	Halodesulfovibrio aestuarii	Halodesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	species	N6157	3544809.0	45.11	3122.0	85.33898441354668	1.0	-0.592291797189545	0.21988824880534302
taxid127886	4.0	0.4	0.4858996637552214	5.026548245743669	rod-shaped	Alkalihalobacillus hemicellulosilyticus	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000513115	4538064.0	38.18	4519.0	85.14406143236411	1.0	-0.527990579479657	0.20261473128282398
taxid127891	1.75	0.65	0.508807110187647	3.573561643458389	rod-shaped	Alkalihalobacillus wakoensis	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000513095	4530938.0	38.29	4798.0	84.33505380122173	1.0	-0.68113325714149	0.265836373942115
taxid128785	1.2	0.6	0.2827433388230814	2.261946710584651	rod-shaped	Pseudoxanthomonas mexicana	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G001556105	3942209.0	66.55	3649.0	90.81131923751379	1.0	-0.272505913181144	0.0928448090576727
taxid131110	1.0	0.65	0.2599340671610805	2.042035224833365	rods	Schaalia radingae	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	species	G900106055	2430293.0	58.93	2132.0	90.31861590351451	3.0	-0.241220857326761	0.0883918989637271
taxid131111	2.2803508501982757	0.6324555320336759	0.6501627594203736	4.530869359655592	rods	Schaalia turicensis	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	species	G000296505	1967755.0	57.18	1721.0	88.83255283305084	4.0	-0.45875196722075	0.158476003094137
taxid131568	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	coccus	Kineococcus radiotolerans	Kineococcus	Kineosporiaceae	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria	species	G000017305	4956672.0	74.25	4708.0	89.44265426479704	4.0	-0.28055494038407397	0.10490603370932801
taxid132919	2.2583179581272432	0.31622776601683805	0.16908905411323116	2.243545908724752	rods-coccus	Rhodococcus jostii	Rhodococcus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G000014565	9702737.0	66.98	9061.0	87.95213144497271	4.0	-0.405357010611851	0.13970145833105402
taxid133552	0.9797958971132712	0.8366600265340756	0.3853449707481341	2.5753396198427985	coccus-shaped	Methylocapsa acidiphila	Methylocapsa	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000427445	4103433.0	61.85	3677.0	84.58310395222732	2.0	-0.0921890569662458	0.0422577106052477
taxid135735	2.9580398915498085	0.8660254037844386	1.5723856331627464	8.047936312008744	rod-shaped	Priestia endophytica	Priestia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G900115845	5118421.0	36.5	5185.0	83.8281571601867	0.0	-0.853244536969759	0.314519284047856
taxid136100	2.765863337187866	0.6000000000000001	0.7254807669202312	5.2135295645656505	rods	Knoellia sinensis	Knoellia	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000768705	3987063.0	68.34	3831.0	92.1330061752222	1.0	-0.4050410984086121	0.132773438435615
taxid136273	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	coccus	Kocuria polaris	Kocuria	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000786195	3779802.0	72.84	3458.0	89.57294588446695	1.0	-0.292254228861448	0.109383922840733
taxid136992	1.1	0.85	0.4634176413279694	2.9373891311064573	ovoid-shaped	Methylomicrobium lacus	Methylomicrobium	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000527095	4384919.0	54.67	3921.0	86.94865287135293	3.0	-0.28317910297993	0.14496015956749803
taxid138336	1.3038404810405295	1.3038404810405295	1.1605717750621412	5.3407075111026465	coccus	Blastococcus saxobsidens	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria	species	G000284015	4875340.0	72.95	4646.0	89.48108234502621	3.0	-0.18810924520441	0.0700712264089125
taxid138595	1.2649110640673518	0.6	0.3010965098040434	2.3843011837910644	rods	Olsenella profusa	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	species	G000468755	2724935.0	64.17	2611.0	87.83967323991214	1.0	-0.334173978680318	0.129339274593635
taxid139208	0.25	0.25	0.008181230868723417	0.19634954084936204	coccus	Isoptericola variabilis	Isoptericola	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000215105	3307740.0	73.89	3012.0	91.34230622721252	3.0	-0.26773100758810897	0.10777734373255803
taxid144185	1.7320508075688772	0.4472135954999579	0.2486538555316636	2.433467205584167	rods	Leifsonia aquatica	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000469485	4226099.0	70.2	4858.0	92.15754292552069	1.0	-0.347185446301089	0.13310874868931402
taxid145261	3.872983346207418	0.4898979485566356	0.6992589657513654	5.960752959477659	rod	Methanothermobacter wolfeii	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	species	G900095815	1686891.0	48.89	1796.0	89.67165039116341	2.0	-0.13076735410162899	0.0552021794194891
taxid145262	4.58257569495584	0.458257569495584	0.7306267464929647	6.5973445725385655	rod	Methanothermobacter thermautotrophicus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	species	G000008645	1751377.0	49.54	1876.0	89.68411712612419	2.0	-0.12732539370390303	0.0517603205658873
taxid145263	4.242640687119285	0.4898979485566356	0.7689377329446211	6.529677711243182	rod	Methanothermobacter marburgensis	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	species	G000145295	1639135.0	48.64	1750.0	90.89763808350136	2.0	-0.13120862321357699	0.0521344362035137
taxid145458	1.5	0.6708203932499369	0.4511145945690694	3.1611666289683265	rods	Rathayibacter toxicus	Rathayibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G001465855	2346032.0	61.48	2233.0	87.01313537070253	2.0	-0.22296076535192602	0.0826986778786354
taxid147268	1.0	0.34641016151377546	0.08336498342228849	1.0882796185405306		Thiomicrospira cyclica	Thiomicrospira	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000214825	1932455.0	46.98	1683.0	93.9963414413272	2.0	-0.41496841218517	0.17302076743801
taxid147322	8.944271909999163	8.944271909999163	374.6567856555056	251.32741228718356	sphere/spheroid	Limnospira indica	Limnospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	N5892	6197258.5	44.68	5767.0	82.26106545246594	1.5	-0.09721640943916066	0.04997953650549715
taxid148813	1.5	0.4	0.17174039839624208	1.884955592153876	rod-shaped	Sulfuricurvum kujiense	Sulfuricurvum	Thiovulaceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G000183725	2819357.0	44.56	2816.0	93.32149138970341	3.0	-0.7544211829802221	0.28405927125138597
taxid150829	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Treponema azotonutricium	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000214355	3855671.0	49.8	3405.0	93.62845014525357	2.0	-0.16618974668679	0.0719929427639541
taxid151276	1.9	1.0	1.2304571226560022	5.969026041820607	rod-shaped	Bacteroides coprosuis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	species	G000212915	2991798.0	34.99	2505.0	86.51733840319433	3.0	-0.32076600141371897	0.134501979577814
taxid152794	2.1213203435596424	0.938083151964686	1.2500325260898957	6.2516904456565845	rod-shaped	Corynebacterium efficiens	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G000011305	3219505.0	62.97	2877.0	87.8989782590802	5.0	-0.709717813988273	0.223416230152706
taxid153151	2.6457513110645907	0.6708203932499369	0.856056533508226	5.575773835391057	rod-shaped	Parageobacillus toebii	Parageobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001598935	3263973.0	42.15	3303.0	85.81955181614553	1.0	-0.49750028926082795	0.196833134159675
taxid153496	2.449489742783178	0.6928203230275509	0.8363735082332995	5.331459525790038	rod-shaped	Kozakia baliensis	Kozakia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001787335	3505604.0	57.36	3393.0	90.34058039641673	5.0	-0.40198318728366295	0.15119512545337901
taxid154981	2.8	0.9	1.5904312808798329	7.916813487046277	rod-shaped	Aliiroseovarius crassostreae	Aliiroseovarius	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001307765	3725379.0	58.42	3707.0	87.37647901059195	3.0	-0.729217924664993	0.255264408929921
taxid155077	1.8973665961010275	0.5916079783099616	0.4673569716657711	3.526429007561698	rod-shaped	Cellvibrio japonicus	Cellvibrio	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000019225	4576573.0	51.99	3695.0	90.75607446882198	3.0	-0.515775121295184	0.21732223099252698
taxid157687	6.250000000000001	0.45	0.9701630813366979	8.835729338221295	rod-shaped	Leptotrichia wadei	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000373345	2316529.0	29.26	2138.0	85.57954594999674	0.0	-0.343938379877005	0.147307369161585
taxid157691	12.500000000000002	0.7	4.720766560794262	27.48893571891069	rod-shaped	Leptotrichia shahii	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000373045	2144606.0	29.51	1969.0	85.09940753686223	0.0	-0.33932865529201695	0.14614324518106303
taxid157692	5.0971327345413675	0.7423848005759648	2.0991825888550677	11.887893002659784	rod	Pseudoleptotrichia goodfellowii	Pseudoleptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	N440	2284223.0	31.57	2307.5	90.22076205581158	1.5	-0.21062792296760896	0.10026704832526376
taxid157733	2.75	0.6	0.7209955139988575	5.18362787842316	rod-shaped	Alkalihalobacillus macyae	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001039475	4256776.0	39.85	4239.0	85.93891245393229	1.0	-0.632705636015561	0.251454805315328
taxid157838	3.5	0.8	1.6252505994571198	8.796459430051419	rod-shaped	Margalitia shackletonii	Margalitia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001420715	5297592.0	36.71	5111.0	82.29540893296426	8.0	-0.7882008975005609	0.269472588882269
taxid159291	35.355339059327385	0.3872983346207417	4.149993584488568	43.01802907159108	helical	Alkalispirochaeta americana	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G900156105	3309052.0	57.55	2903.0	92.960914485478	1.0	-0.0978231419943143	0.0394575997125983
taxid159346	4.0	0.6324555320336759	1.1904064729972763	7.9476706126368795	rod-shaped	Roseibacterium elongatum	Roseibacterium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000590925	3555109.0	65.74	3543.0	89.80230985885383	2.0	-0.253997361840172	0.104023132609944
taxid159449	1.4	0.7	0.4489859500755412	3.078760800517997		Embleya scabrispora	Embleya	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	species	G000372745	11392659.0	70.95	10067.0	85.41574008315354	1.0	-0.39009160602694304	0.14336286323840602
taxid160233	2.449489742783178	2.449489742783178	7.695298980971184	18.849555921538755	coccus-shaped	Ignicoccus hospitalis	Ignicoccus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000017945	1297538.0	56.52	1490.0	93.32489684309824	1.0	-0.0893699536999728	0.0484991312525406
taxid160404	4.58257569495584	0.8831760866327847	2.626986629006056	12.714720606047294	rod-shaped	Anaerotignum lactatifermentans	Anaerotignum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	species	G900142265	3546077.0	45.31	3560.0	87.19675291878885	1.0	-0.915219164618288	0.292496169336153
taxid161536	3.464101615137755	0.4	0.4185566865970667	4.353118474162122	rod-shaped	Ornithinibacillus californiensis	Ornithinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001038485	3979837.0	36.96	4077.0	86.46459641437576	0.0	-0.648065066258055	0.237695375652286
taxid162426	1.095445115010332	0.31622776601683805	0.07775723458835204	1.0882796185405306	rods	Microbacterium hominis	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G001592125	3502678.0	71.0	3234.0	92.44052693396308	1.0	-0.327823915330289	0.10727365795455901
taxid165179	0.95	0.83	0.3643142684747647	2.4771458073555515	rod-shaped	Prevotella copri	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	species	G000157935	3512473.0	44.85	3042.0	85.98386379055441	5.0	-0.7316449375697289	0.244377513758025
taxid167642	2.1213203435596424	0.7	0.7265825498714913	4.665027085066284	rod	Ilyobacter polytropus	Ilyobacter	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000165505	3132314.0	34.37	2949.0	85.5850977903237	8.0	-0.43268319980275294	0.18217665226769197
taxid167964	100.00000000000004	0.2449489742783178	4.708541330894205	76.95298980971181	filament-shaped	Anaerolinea thermophila	Anaerolinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria	species	G000199675	3532378.0	53.85	3186.0	92.56183794599558	2.0	-0.148505696056525	0.0644782085862431
taxid171695	0.8944271909999159	0.4472135954999579	0.11708024551734544	1.2566370614359172	rod-shaped	Thermodesulfatator indicus	Thermodesulfatator	Thermodesulfobacteriaceae	Thermodesulfobacteriales	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria	species	G000217795	2322224.0	42.43	2246.0	91.03566236504317	2.0	-0.127166174482417	0.0543072814052266
taxid172043	2.75	0.5	0.507236313860852	4.319689898685965	rod-shaped	Brevundimonas nasdae	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000813765	3407832.0	66.03	3375.0	90.07891234074921	1.0	-0.402893821979414	0.14000827000902802
taxid173365	2.179449471770337	1.019803902718557	1.5025416379366223	6.9825386315710025	rod-shaped	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000190755	4848329.0	49.51	4422.0	86.96037335750111	2.0	-0.585670434121317	0.237049737681746
taxid173366	1.6583123951777	0.938083151964686	0.9300244048680092	4.887171231974203	rod-shaped	Methylocystis rosea	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000372845	3912050.0	62.5	3859.0	86.64222083051085	1.0	-0.18813882748846802	0.0716300901607422
taxid173480	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	rod	Gemmatimonas aurantiaca	Gemmatimonas	Gemmatimonadaceae	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria	species	G000010305	4636964.0	64.27	4004.0	93.17702272435152	1.0	-0.292323862013383	0.10283579041354099
taxid175628	1.4142135623730951	0.3872983346207417	0.15139894014603772	1.7207211628636432	rods	Gordonia paraffinivorans	Gordonia	Gordoniaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G000344155	4632332.0	68.93	4221.0	90.3608808695059	1.0	-0.294613576930081	0.109103006421194
taxid178774	4.242640687119285	0.5656854249492381	1.0189011538176522	7.5398223686155035	rod-shaped	Gottfriedia luciferensis	Gottfriedia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001712755	4894118.0	32.95	4628.0	82.63905774237564	1.0	-0.903542231430251	0.327918582867239
taxid178901	1.19582607431014	0.9	0.5698999243242512	3.381118569021472	ellipsoidal	Acetobacter malorum	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001580615	3833476.0	56.67	3499.0	89.68862724065573	1.0	-0.515360700343065	0.190596090239216
taxid180281	0.8	0.8	0.26808257310632905	2.010619298297468	sphere/spheroid	Cyanobium sp. PCC 7001	Cyanobium	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000155635	2834252.0	68.74	2825.0	90.056141796848	2.0	-0.22276814307126802	0.0830584539854448
taxid180311	2.7386127875258306	0.7071067811865476	0.9828906655781444	6.083668013960417	rod-shaped	Hespellia stercorisuis	Hespellia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	species	G900142165	4402942.0	45.27	4141.0	88.06264084332703	1.0	-0.7380346680852149	0.25945835594398997
taxid181070	4.0	0.75	1.6566992509164924	9.424777960769381	rod-shaped	Proteocatella sphenisci	Proteocatella	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	species	G000423525	2411055.0	36.44	2291.0	91.47340064826393	0.0	-0.35024666178879904	0.149167096192688
