N2	k__Archaea
N3772	f__Akkermansiaceae; g__Akkermansia
N3790	g__Caldithrix
N3795	p__Ignavibacteriae
N3799	p__Bacteroidetes_1
N3803	s__Helicobacter cetorum
N3807	g__Sulfurovum
N3808	g__Sulfuricurvum
N3809	g__Sulfurimonas
N3815	f__Acidobacteriaceae
N3816	g__Chondromyces
N3817	f__Archangiaceae
N3818	f__Myxococcaceae
N3824	g__Candidatus Nitromaritima
N3831	g__Thermodesulfovibrio
N3838	f__Desulfohalobiaceae
N3839	f__Desulfonatronaceae; g__Desulfonatronum
N3840	f__Desulfovibrionaceae
N3841	p__Thermodesulfobacteria; c__Thermodesulfobacteria; o__Thermodesulfobacteriales
N3842	p__Proteobacteria_7; c__Deltaproteobacteria_5; o__Desulfobacterales_2
N3843	p__Proteobacteria_6; c__Deltaproteobacteria_3
N3846	g__Rickettsia
N3850	g__Ehrlichia
N3851	s__Anaplasma phagocytophilum
N3860	f__Chromobacteriaceae_1
N3861	f__Neisseriaceae
N3863	f__Methylophilaceae
N3869	c__Betaproteobacteria_6; o__Nitrosomonadales_2; f__Sterolibacteriaceae; g__Methyloversatilis
N3872	g__Sutterella
N3881	o__Chromatiales_4; f__Halothiobacillaceae; g__Halothiobacillus
N3888	o__Thiotrichales_1
N3889	o__Legionellales
N3961	p__Candidatus Zambryskibacteria
N3962	p__Candidatus Taylorbacteria
N3964	s__Phormidesmis priestleyi
N3972	o__Oscillatoriales_2; f__Oscillatoriaceae_1; g__Moorea
N3979	s__Chloroflexi bacterium oral taxon 439
N3980	f__Anaerolineaceae
N3996	g__Modestobacter
N3998	o__Glycomycetales; f__Glycomycetaceae
N3999	o__Micromonosporales; f__Micromonosporaceae
N4000	o__Pseudonocardiales_2; f__Pseudonocardiaceae_2
N4004	f__Propionibacteriaceae
N4006	f__Nocardiopsaceae
N4011	f__Brevibacteriaceae; g__Brevibacterium
N4012	f__Micrococcaceae
N4016	o__Micrococcales_3
N4019	f__Desulfallaceae
N4020	f__Peptococcaceae_2
N4024	g__Mitsuokella
N4025	g__Selenomonas_1; s__Selenomonas ruminantium
N4039	g__Peptoanaerobacter
N4043	g__Caloranaerobacter
N4046	g__Helcococcus
N4064	g__Coprococcus
N4071	g__Oribacterium
N4072	g__Lachnoclostridium; s__[Clostridium] aminophilum
N4075	g__Butyrivibrio_2
N4083	s__Brevibacillus laterosporus
N4090	s__Acholeplasmatales bacterium DTU067
N4095	g__Entomoplasma
N4097	f__Erysipelotrichaceae_2
N4098	f__Coprobacillaceae
N4105	f__Bacillaceae_3; g__Alkalihalobacillus
N4108	f__Bacillaceae_8; g__Schinkia
N4111	g__Mammaliicoccus
N4112	g__Staphylococcus
N4117	g__Carnobacterium
N4118	f__Carnobacteriaceae_2
N4128	f__Candidatus Brocadiaceae
N4136	s__Akkermansia glycaniphila
N4149	s__Fibrobacter succinogenes
N4155	c__Ignavibacteria; o__Ignavibacteriales; f__Melioribacteraceae
N4157	p__Candidatus Kryptonia; c__; o__; f__
N4160	p__Bacteroidetes_2; c__; o__Bacteroidetes Order II. Incertae sedis; f__Rhodothermaceae
N4161	p__Balneolaeota; c__Balneolia; o__Balneolales
N4165	s__Helicobacter pylori
N4175	g__Myxococcus
N4185	g__Nitrospira
N4192	f__Desulfomicrobiaceae
N4193	g__Desulfonauticus
N4198	f__Thermodesulfobacteriaceae
N4201	o__Desulfarculales
N4205	g__Orientia
N4206	s__Rickettsia bellii
N4214	s__Anaplasma marginale
N4217	o__Sphingomonadales
N4218	o__Rhodobacterales
N4224	g__Vitreoscilla
N4229	f__Gallionellaceae
N4231	f__Nitrosomonadaceae
N4232	f__Azonexaceae
N4236	g__Parasutterella
N4238	f__Alcaligenaceae
N4245	o__; f__Candidatus Competibacteraceae
N4246	o__Chromatiales_1; f__Ectothiorhodospiraceae
N4250	g__Thiomicrospira
N4252	f__Piscirickettsiaceae_1; g__Piscirickettsia
N4253	f__Francisellaceae
N4256	o__Moraxellales
N4258	o__Kangiellales; f__Kangiellaceae; g__Kangiella
N4319	o__Pleurocapsales
N4323	g__Trichodesmium
N4330	g__Bellilinea
N4347	g__Pseudonocardia
N4349	o__Pseudonocardiales_1; f__Pseudonocardiaceae_1
N4350	f__Dietziaceae; g__Dietzia
N4352	f__Segniliparaceae; g__Segniliparus
N4356	f__Kribbellaceae; g__Kribbella
N4357	f__Nocardioidaceae
N4358	g__Nocardiopsis
N4359	f__Thermomonosporaceae
N4360	f__Streptosporangiaceae
N4361	o__Catenulisporales
N4362	o__Streptomycetales; f__Streptomycetaceae
N4363	f__Ornithinimicrobiaceae
N4373	g__Brachybacterium
N4374	f__Demequinaceae; g__Demequina
N4376	o__Bifidobacteriales
N4377	o__Actinomycetales; f__Actinomycetaceae
N4378	g__Desulfallas
N4379	g__Desulfofundulus
N4380	s__Desulfitobacterium hafniense
N4396	g__Peptostreptococcus
N4404	s__Ruminiclostridium papyrosolvens
N4421	g__Anaerocolumna
N4435	g__Lachnospira
N4441	g__Thermoactinomyces
N4446	g__Paenibacillus_2
N4447	g__Cohnella
N4451	f__Acholeplasmataceae
N4456	g__Erysipelatoclostridium_2
N4463	g__Evansella
N4465	f__
N4466	f__Bacillaceae_5
N4471	f__Planococcaceae
N4472	f__Bacillaceae_1
N4473	g__Jeotgalicoccus
N4474	g__Salinicoccus
N4484	g__Trichococcus
N4485	f__Carnobacteriaceae_3
N4486	f__Aerococcaceae
N4487	f__Enterococcaceae
N4488	f__Streptococcaceae
N4489	g__Loigolactobacillus
N4503	g__Rubritalea
N4507	g__Candidatus Protochlamydia
N4520	g__Chlorobaculum
N4523	f__Balneolaceae
N4526	c__Flavobacteriia; o__Flavobacteriales
N4537	g__Terriglobus
N4538	g__Granulicella
N4549	g__Desulfomicrobium
N4551	g__Desulfonatronovibrio
N4553	g__Desulfovibrio_1
N4555	g__Thermodesulfatator
N4558	f__Desulfobulbaceae; g__Desulfobulbus
N4559	f__Desulfocapsaceae
N4560	f__Desulfarculaceae
N4561	o__Syntrophobacterales_2
N4562	o__Desulfobacterales_1
N4565	s__Orientia tsutsugamushi
N4567	s__Rickettsia canadensis
N4592	g__Methylobacillus
N4594	g__Sideroxydans
N4596	g__Nitrosospira
N4597	g__Nitrosomonas
N4598	g__Dechloromonas
N4599	c__Hydrogenophilalia; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Tepidiphilus
N4600	c__Betaproteobacteria_4; o__Rhodocyclales_1
N4608	o__Salinisphaerales; f__Salinisphaeraceae; g__Salinisphaera
N4609	o__Nevskiales
N4613	o__Thiotrichales_3; f__Thiotrichaceae_1
N4620	g__Thiomicrorhabdus
N4621	g__Hydrogenovibrio
N4622	s__Piscirickettsia salmonis
N4623	g__Francisella
N4624	f__Coxiellaceae
N4625	f__Legionellaceae
N4626	f__Moraxellaceae
N4628	o__Alteromonadales_1
N4665	p__Candidatus Adlerbacteria
N4677	g__Kamptonema
N4678	g__Planktothrix
N4681	s__Moorea producens
N4682	o__Chroococcidiopsidales; f__Chroococcidiopsidaceae
N4683	o__Nostocales
N4684	g__Leptolinea; s__Leptolinea tardivitalis
N4697	g__Blastococcus
N4698	g__Glycomyces
N4706	f__Lawsonellaceae; g__Lawsonella; s__Lawsonella clevelandensis
N4707	f__Corynebacteriaceae; g__Corynebacterium
N4708	f__Mycobacteriaceae
N4713	g__Aeromicrobium
N4717	g__Actinomadura
N4721	g__Serinicoccus
N4722	f__Intrasporangiaceae_2; g__Arsenicicoccus
N4723	f__Dermatophilaceae
N4724	f__Dermacoccaceae
N4725	f__Intrasporangiaceae_1
N4729	g__Rothia
N4730	g__Kocuria
N4735	f__Ruaniaceae
N4737	f__Bifidobacteriaceae
N4760	s__Anaerococcus prevotii
N4774	g__Lachnoanaerobaculum
N4780	s__Butyrivibrio crossotus
N4794	g__Gorillibacterium
N4804	g__Acholeplasma
N4811	g__Catenibacterium
N4813	g__Holdemania
N4814	g__Solobacterium
N4817	g__Erysipelatoclostridium_1
N4819	g__Salipaludibacillus
N4827	g__Pontibacillus
N4833	g__Bacillus_2
N4849	g__Granulicatella
N4850	g__Aerococcus
N4854	g__Streptococcus
N4868	g__Rhodopirellula
N4893	c__Saprospiria; o__Saprospirales
N4894	c__Chitinophagia; o__Chitinophagales
N4895	c__Sphingobacteriia; o__Sphingobacteriales
N4896	c__Cytophagia; o__Cytophagales
N4908	g__Acidobacterium
N4909	s__Terriglobus roseus
N4914	o__Desulfuromonadales
N4915	o__Syntrophobacterales_1
N4926	f__Syntrophobacteraceae
N4927	f__Syntrophaceae_2; g__Desulfobacca
N4940	f__Acetobacteraceae
N4943	f__Sphingosinicellaceae
N4954	g__Methylotenera
N4962	f__Rhodocyclaceae; g__Aromatoleum
N4963	f__Zoogloeaceae
N4964	s__Sutterella wadsworthensis
N4966	g__Candidatus Kinetoplastibacterium
N4968	f__Oxalobacteraceae
N4969	f__Burkholderiaceae
N4970	f__; g__Thiomonas
N4973	f__Sinobacteraceae
N4974	o__Xanthomonadales
N4982	o__Thiotrichales_6; f__Piscirickettsiaceae_4; g__Cycloclasticus
N4983	o__Methylococcales
N4985	o__; f__
N4998	o__Oceanospirillales_2; f__Alcanivoracaceae
N5000	f__Idiomarinaceae
N5002	o__Aeromonadales_1; f__Succinivibrionaceae
N5047	f__Hyellaceae
N5048	o__Chroococcales_2
N5067	s__Pseudonocardia autotrophica
N5068	o__Pseudonocardiales_3; f__Pseudonocardiaceae_3; g__Saccharopolyspora
N5069	o__Actinopolysporales; f__Actinopolysporaceae; g__Actinopolyspora
N5074	g__Mycobacteroides
N5081	g__Marmoricola
N5082	g__Nocardioides
N5091	g__Streptomyces
N5093	g__Dermacoccus
N5095	g__Intrasporangium
N5101	g__Nesterenkonia
N5104	g__Gulosibacter
N5107	g__Ruania
N5109	f__Cellulomonadaceae; g__Cellulomonas
N5115	s__Peptococcaceae bacterium SCADC1_2_3
N5130	g__Kallipyga
N5134	g__Oscillibacter
N5148	g__Hungatella; s__Hungatella hathewayi
N5149	g__Enterocloster
N5162	s__Aneurinibacillus migulanus
N5164	s__Brevibacillus borstelensis
N5177	g__Candidatus Phytoplasma
N5180	g__Kandleria; s__Kandleria vitulina
N5181	g__Sharpea
N5185	g__Faecalitalea
N5186	g__Faecalibaculum
N5189	g__Geomicrobium
N5190	g__Marinococcus
N5194	s__Pontibacillus halophilus
N5197	g__Terribacillus
N5199	g__Ornithinibacillus
N5201	g__Bhargavaea; s__Bhargavaea cecembensis
N5214	s__Listeria innocua
N5215	s__Listeria monocytogenes
N5223	s__Aerococcus urinae
N5227	g__Lactococcus
N5230	g__Latilactobacillus
N5234	g__Liquorilactobacillus
N5235	g__Ligilactobacillus
N5245	s__Akkermansia muciniphila
N5256	g__Melioribacter
N5257	g__Candidatus Kryptobacter; s__Candidatus Kryptobacter tengchongensis
N5258	g__Candidatus Kryptonium
N5261	g__Balneola
N5263	f__Saprospiraceae; g__Saprospira
N5267	f__Sphingobacteriaceae
N5268	f__Amoebophilaceae
N5276	c__Bacteroidia
N5289	f__Desulfuromonadaceae
N5290	f__Geobacteraceae
N5293	g__Desulfovibrio_4; s__Desulfovibrio alaskensis
N5294	g__Halodesulfovibrio
N5300	g__Thermodesulfobacterium
N5309	f__Desulfobacteraceae
N5318	f__Rhodospirillaceae
N5321	g__Sandarakinorhabdus
N5326	o__Parvularculales; f__Parvularculaceae; g__Parvularcula
N5328	o__Hyphomicrobiales_2
N5330	g__Chitinilyticum
N5335	g__Neisseria
N5344	g__Thauera
N5351	g__Oxalobacter; s__Oxalobacter formigenes
N5353	g__Polynucleobacter
N5357	f__
N5358	f__Comamonadaceae
N5361	f__Rhodanobacteraceae
N5366	g__Beggiatoa
N5372	o__Chromatiales_3; f__Chromatiaceae_3; g__Nitrosococcus
N5373	o__Thiotrichales_4; f__Piscirickettsiaceae_3; g__Methylophaga
N5376	o__Thiotrichales_5; f__Thiotrichaceae_2; g__Achromatium
N5377	o__Chromatiales_2; f__Chromatiaceae_1
N5379	g__
N5394	g__Moraxella_2
N5396	g__Alcanivorax
N5399	g__
N5401	f__Alteromonadaceae_1
N5430	p__Candidatus Kaiserbacteria
N5449	f__Geminocystaceae; g__Cyanobacterium
N5450	f__Chroococcaceae
N5451	o__Synechococcales_2; f__Merismopediaceae; g__Synechocystis
N5454	g__Arthrospira; s__Arthrospira platensis
N5455	g__Limnospira
N5459	f__Nostocaceae_1; g__Nostoc
N5481	g__Mycolicibacterium; s__Mycolicibacterium rhodesiae
N5482	f__Tsukamurellaceae; g__Tsukamurella
N5501	g__Streptacidiphilus
N5519	f__Jonesiaceae
N5520	f__Promicromonosporaceae
N5523	g__Alloscardovia
N5527	g__Arcanobacterium
N5530	g__Mobiluncus
N5543	g__Clostridioides
N5559	g__Ruminococcus
N5569	g__Roseburia
N5571	g__Pseudobutyrivibrio
N5581	s__Paenibacillus larvae
N5590	g__Paenibacillus_1
N5597	s__Sharpea azabuensis
N5598	s__Solobacterium moorei
N5613	g__Salimicrobium
N5614	g__Halobacillus
N5615	g__Sediminibacillus
N5621	g__Sporosarcina
N5622	g__Planococcus
N5630	g__Caldibacillus
N5635	s__Staphylococcus saprophyticus
N5641	s__Trichococcus flocculiformis
N5645	g__Facklamia
N5646	g__Enterococcus_2
N5648	g__Enterococcus_1
N5654	s__Latilactobacillus fuchuensis
N5656	g__Lacticaseibacillus
N5657	g__Schleiferilactobacillus
N5658	g__Lapidilactobacillus
N5664	g__Weissella
N5666	g__Pediococcus
N5683	s__Saprospira grandis
N5687	f__Chitinophagaceae
N5689	g__Candidatus Cardinium
N5691	f__Crocinitomicaceae
N5693	f__Schleiferiaceae
N5699	o__Bacteroidales_2
N5712	g__Geobacter
N5718	g__Desulfovibrio_3; s__Desulfovibrio vulgaris
N5720	s__Desulfovibrio magneticus
N5722	g__Desulfohalovibrio
N5723	g__Maridesulfovibrio
N5730	g__Desulfatibacillum
N5742	f__Thalassospiraceae; g__Thalassospira
N5743	f__Terasakiellaceae
N5744	g__Magnetospirillum
N5746	f__Rhodovibrionaceae
N5747	f__Kiloniellaceae; g__Kiloniella
N5750	f__Zymomonadaceae; g__Zymomonas; s__Zymomonas mobilis
N5754	o__Caulobacterales; f__Caulobacteraceae
N5756	f__Parvibaculaceae
N5757	o__Hyphomicrobiales_1
N5759	g__Conchiformibius
N5760	g__Kingella
N5764	g__Methylophilus
N5790	g__Nevskia
N5794	f__Xanthomonadaceae
N5806	f__Methylothermaceae
N5812	g__Candidatus Thiodiazotropha
N5814	s__Solemya velum gill symbiont
N5822	g__Rickettsiella
N5828	g__Legionella_2
N5831	g__Acinetobacter
N5833	s__Moraxella osloensis
N5834	g__Psychrobacter
N5835	g__Moraxella_1
N5837	o__Cellvibrionales
N5839	o__Oceanospirillales_1
N5840	s__Idiomarinaceae bacterium HL-53
N5841	g__Pseudidiomarina
N5842	g__Idiomarina
N5843	g__Catenovulum
N5845	f__Colwelliaceae
N5849	g__Succinivibrio
N5850	o__Alteromonadales_2
N5887	g__Geminocystis
N5888	s__Synechocystis sp. PCC 6803
N5890	o__Chroococcales_1
N5892	s__Limnospira indica
N5894	f__Calotrichaceae; g__Calothrix
N5895	f__Nostocaceae_2; g__Richelia
N5896	f__Scytonemataceae
N5917	g__Mycolicibacter
N5918	g__Mycobacterium
N5921	f__Nocardiaceae_2
N5922	f__Gordoniaceae; g__Gordonia
N5936	g__Microbispora
N5937	g__Nonomuraea
N5940	g__Kitasatospora
N5944	g__Mobilicoccus
N5945	g__Luteipulveratus
N5947	g__Janibacter
N5948	g__Tetrasphaera
N5960	g__Scardovia
N5963	g__Gardnerella; s__Gardnerella vaginalis
N5964	g__Bifidobacterium
N5969	s__Mobiluncus curtisii
N5970	s__Mobiluncus mulieris
N5971	g__Boudabousia
N5974	s__Candidatus Arthromitus sp. SFB-mouse
N5977	s__Clostridium botulinum
N5982	s__Eubacterium pyruvativorans
N5984	s__Clostridioides difficile
N5986	g__Intestinimonas
N5993	g__Faecalibacterium
N6005	g__Butyrivibrio_1
N6028	g__Saccharibacillus
N6042	s__Faecalibaculum rodentium
N6045	g__Alteribacillus
N6048	s__Alkalihalobacillus clausii
N6054	g__Gracilibacillus
N6057	g__Lentibacillus
N6058	g__Oceanobacillus
N6059	g__Virgibacillus
N6064	g__Paenisporosarcina
N6066	g__Lysinibacillus
N6095	s__Latilactobacillus sakei
N6110	g__Oenococcus
N6123	f__Haliscomenobacteraceae
N6124	f__Lewinellaceae; g__Lewinella
N6130	g__Crocinitomix
N6134	f__Flavobacteriaceae
N6140	o__Bacteroidales_1
N6156	f__Syntrophaceae_1
N6157	s__Halodesulfovibrio aestuarii
N6158	g__Lawsonia
N6159	g__Desulfovibrio_2
N6164	s__Thermodesulfobacterium commune
N6168	s__Desulfatibacillum aliphaticivorans
N6169	g__Desulfosarcina
N6173	s__Rickettsia tamurae
N6176	g__Roseomonas
N6180	g__Terasakiella
N6187	f__Thalassobaculaceae; g__Candidatus Endolissoclinum
N6190	f__Sphingomonadaceae_1
N6192	f__Rhodobacteraceae
N6194	o__Maricaulales
N6195	o__Hyphomonadales; f__Hyphomonadaceae
N6199	f__Hyphomicrobiaceae
N6208	s__Nitrosomonas communis
N6212	g__Taylorella
N6213	g__Oligella
N6214	g__Pusillimonas (ex Stolz et al. 2005)
N6216	g__Massilia
N6217	g__Janthinobacterium
N6234	g__Thiothrix
N6236	g__Thioalkalivibrio
N6239	s__Methylophaga thiooxydans
N6242	f__Methylococcaceae
N6246	g__Sedimenticola
N6248	s__Candidatus Thiodiazotropha endoloripes
N6250	s__Hydrogenovibrio marinus
N6256	s__Rickettsiella grylli
N6259	g__Coxiella
N6275	o__Oceanospirillales_3; f__Endozoicomonadaceae
N6276	o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
N6284	g__Thalassotalea
N6287	f__Pseudoalteromonadaceae
N6288	g__Ruminobacter
N6290	s__Succinivibrio dextrinosolvens
N6291	f__Ferrimonadaceae; g__Ferrimonas
N6292	f__Shewanellaceae; g__Shewanella
N6324	f__Aphanothecaceae_1
N6328	s__Richelia intracellularis
N6330	g__Scytonema
N6331	f__Chlorogloeopsidaceae; g__Chlorogloeopsis
N6332	f__Hapalosiphonaceae; g__Fischerella
N6336	f__Aphanizomenonaceae
N6340	g__Micromonospora
N6342	g__Actinoplanes
N6343	g__Actinokineospora
N6344	g__Kutzneria
N6346	g__Thermocrispum
N6347	g__Amycolatopsis
N6351	s__Corynebacterium falsenii
N6362	g__Williamsia
N6365	f__Nocardiaceae_1
N6366	g__Propionibacterium
N6375	g__Streptosporangium
N6384	g__Phycicoccus
N6387	g__Arthrobacter
N6389	g__Leucobacter
N6391	g__Jonesia
N6402	g__Actinotignum
N6403	g__Actinobaculum
N6414	s__Clostridium pasteurianum
N6425	s__Enterocloster citroniae
N6437	s__Pseudobutyrivibrio ruminis
N6441	g__Blautia
N6447	s__Brevibacillus brevis
N6461	s__Faecalitalea cylindroides
N6463	g__Salibacterium
N6474	g__Kurthia
N6476	g__Ureibacillus
N6480	g__Priestia
N6482	g__Bacillus_1
N6495	s__Enterococcus faecalis
N6498	s__Streptococcus suis
N6505	s__Latilactobacillus curvatus
N6509	s__Schleiferilactobacillus harbinensis
N6510	g__Bombilactobacillus
N6511	g__Companilactobacillus
N6522	g__Leuconostoc
N6523	s__Oenococcus oeni
N6528	g__Furfurilactobacillus
N6530	g__Lactiplantibacillus
N6533	s__Rhodopirellula europaea
N6534	s__Rhodopirellula baltica
N6540	g__Chitinophaga
N6544	g__Pedobacter_2
N6546	f__Bernardetiaceae
N6552	f__Blattabacteriaceae
N6553	f__Weeksellaceae
N6561	o__Bacteroidales_3
N6562	o__Marinilabiliales
N6569	g__Geoalkalibacter
N6585	s__Lawsonia intracellularis
N6607	g__Rhizorhabdus
N6608	g__Sphingomonas
N6609	f__Sphingomonadaceae_3; g__Sphingobium
N6614	f__Roseobacteraceae
N6615	f__Robiginitomaculaceae
N6616	f__Maricaulaceae
N6617	g__Hirschia
N6620	g__Asticcacaulis
N6621	g__Brevundimonas
N6626	g__Chromobacterium
N6631	s__Nitrosomonas marina
N6632	s__Nitrosomonas ureae
N6633	s__Oligella urethralis
N6640	g__Noviherbaspirillum
N6642	g__Cupriavidus
N6643	g__Ralstonia
N6645	g__Aquabacterium
N6649	g__Serpentinomonas
N6650	g__Hydrogenophaga
N6653	g__Solimonas
N6655	g__Arenimonas
N6658	g__Spiribacter
N6667	g__Thiohalocapsa
N6674	s__Francisella orientalis
N6675	s__Francisella tularensis
N6686	g__Legionella_1
N6692	s__Moraxella catarrhalis
N6694	f__Spongiibacteraceae
N6695	f__Halieaceae
N6698	g__Endozoicomonas
N6701	f__Oceanospirillaceae_3; g__Oceanospirillum
N6708	s__Catenovulum agarivorans
N6711	s__Thalassotalea crassostreae
N6714	g__Pseudoalteromonas
N6720	o__Alteromonadales_3
N6721	o__Aeromonadales_2; f__Aeromonadaceae
N6722	o__Vibrionales; f__Vibrionaceae
N6751	f__Aphanothecaceae_2; g__Gloeothece
N6752	f__Microcystaceae; g__Microcystis; s__Microcystis aeruginosa
N6755	s__Chlorogloeopsis fritschii
N6756	s__Fischerella muscicola
N6760	g__Anabaena
N6761	g__Cylindrospermopsis
N6762	s__Bellilinea caldifistulae
N6766	g__Salinispora
N6794	g__Rhodococcus
N6797	g__Acidipropionibacterium
N6798	g__Cutibacterium
N6829	s__Actinotignum schaalii
N6830	s__Actinobaculum suis
N6835	g__Winkia; s__Winkia neuii
N6836	g__Gleimia
N6839	s__Clostridium magnum
N6859	g__Mediterraneibacter
N6873	s__Paenibacillus massiliensis
N6882	g__Amphibacillus
N6891	g__Parageobacillus
N6892	g__Geobacillus; s__Geobacillus subterraneus
N6904	s__Staphylococcus capitis
N6905	s__Staphylococcus epidermidis
N6909	s__Enterococcus asini
N6910	g__Tetragenococcus
N6924	s__Lacticaseibacillus thailandensis
N6925	s__Lacticaseibacillus pantheris
N6932	g__Lactobacillus
N6933	s__Liquorilactobacillus sucicola
N6940	g__Fructobacillus
N6944	g__Paucilactobacillus
N6945	g__Limosilactobacillus
N6959	g__Olivibacter
N6960	g__Sphingobacterium
N6964	g__Pedobacter_1
N6965	f__Flammeovirgaceae
N6969	g__Fluviicola
N6971	g__Blattabacterium
N6982	f__Rikenellaceae
N6983	f__Odoribacteraceae
N6984	f__Marinilabiliaceae
N6987	f__Paludibacteraceae
N6994	g__Desulfuromonas
N7005	g__Smithella
N7008	s__Desulfovibrio desulfuricans
N7011	g__Pseudodesulfovibrio
N7021	g__Acidocella
N7022	g__Acidiphilium
N7023	g__Commensalibacter
N7034	f__Sphingomonadaceae_4; g__Sphingopyxis
N7043	g__Phenylobacterium
N7044	g__Caulobacter
N7072	g__Ottowia
N7074	g__Luteibacter
N7078	g__Lysobacter
N7086	g__Methylomonas
N7087	g__Methylotuvimicrobium
N7097	s__Coxiella burnetii
N7112	s__Moraxella nonliquefaciens
N7120	f__Microbulbiferaceae; g__Microbulbifer
N7121	f__Cellvibrionaceae
N7123	s__Endozoicomonas elysicola
N7127	f__Oceanospirillaceae_2
N7128	f__Halomonadaceae
N7129	f__Hahellaceae; g__Hahella
N7130	f__Marinobacteraceae; g__Marinobacter
N7132	f__Oceanospirillaceae_1
N7134	g__Paraglaciecola
N7136	g__Colwellia
N7143	f__Alteromonadaceae_2
N7149	o__Pasteurellales; f__Pasteurellaceae
N7172	g__Candidatus Atelocyanobacterium; s__Candidatus Atelocyanobacterium thalassa
N7173	g__Crocosphaera
N7183	s__Cylindrospermopsis raciborskii
N7188	g__Saccharothrix
N7189	g__Lentzea
N7191	g__Saccharomonospora
N7199	s__Mycobacterium heraklionense
N7229	g__Knoellia
N7230	g__Glutamicibacter
N7235	g__Microbacterium
N7246	g__Varibaculum
N7253	g__Anaerotruncus
N7257	s__Enterocloster clostridioformis
N7268	g__Faecalicatena
N7271	g__Dorea
N7301	g__Weizmannia
N7303	g__Jeotgalibacillus
N7306	g__Peribacillus
N7327	s__Companilactobacillus versmoldensis
N7333	s__Ligilactobacillus ruminis
N7336	s__Weissella halotolerans
N7337	s__Weissella ceti
N7347	g__Levilactobacillus
N7348	g__Secundilactobacillus
N7349	g__Lentilactobacillus
N7356	s__Candidatus Kryptonium thompsoni
N7363	s__Pedobacter glucosidilyticus
N7365	g__Mucilaginibacter
N7368	g__Flammeovirga
N7370	f__Cytophagaceae_2
N7371	f__Hymenobacteraceae
N7373	f__Cytophagaceae_1
N7381	g__Capnocytophaga
N7390	g__Alistipes
N7392	g__Odoribacter
N7393	g__Saccharicrinis
N7394	g__Anaerophaga
N7396	g__Paludibacter
N7397	f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas somerae
N7416	f__Azospirillaceae
N7431	g__Paracoccus
N7437	g__Hyphomonas
N7439	s__Caulobacter vibrioides
N7440	s__Caulobacter henricii
N7443	g__Hyphomicrobium
N7444	f__Methylocystaceae_2; g__Methylopila
N7446	f__Devosiaceae
N7451	g__Bordetella
N7457	s__Ralstonia mannitolilytica
N7459	g__Rhizobacter
N7468	g__Luteimonas
N7470	g__Pseudoxanthomonas; s__Pseudoxanthomonas suwonensis
N7472	g__Ectothiorhodospira
N7475	g__Methylobacter
N7494	g__Legionella_3; s__Legionella longbeachae
N7495	g__Fluoribacter
N7506	g__Spongiibacter
N7515	g__Candidatus Portiera
N7518	f__Saccharospirillaceae
N7520	g__Marinomonas
N7522	s__Idiomarina abyssalis
N7526	g__Glaciecola
N7528	s__Colwellia psychrerythraea
N7530	f__Chromatiaceae_2; g__Rheinheimera
N7533	s__Pseudoalteromonas ruthenica
N7537	g__Agarivorans
N7538	f__Moritellaceae; g__Moritella
N7539	f__Psychromonadaceae; g__Psychromonas
N7540	g__Aeromonas
N7542	g__Photobacterium
N7566	s__Crocosphaera watsonii
N7604	s__Rhodococcus fascians
N7606	g__Nocardia
N7634	s__Varibaculum cambriense
N7643	s__Ruminococcus flavefaciens
N7658	s__Paenibacillus durus
N7662	s__Paenibacillus polymyxa
N7669	s__Parageobacillus caldoxylosilyticus
N7676	g__Bacillus_3
N7677	g__Domibacillus
N7679	g__Bacillus_4; s__Bacillus coahuilensis
N7680	g__Rossellomorea
N7689	s__Streptococcus mutans
N7690	s__Streptococcus thermophilus
N7691	s__Streptococcus sobrinus
N7696	s__Lacticaseibacillus nasuensis
N7697	s__Lacticaseibacillus rhamnosus
N7706	s__Weissella confusa
N7708	s__Fructobacillus pseudoficulneus
N7709	s__Fructobacillus fructosus
N7711	s__Leuconostoc mesenteroides
N7718	s__Lactiplantibacillus plantarum
N7724	g__Apilactobacillus
N7725	g__Fructilactobacillus
N7741	g__Daejeonella
N7742	g__Arcticibacter
N7754	f__Microscillaceae
N7763	g__Riemerella
N7765	g__Tenacibaculum
N7783	g__Sanguibacteroides
N7784	g__Butyricimonas; s__Butyricimonas synergistica
N7790	f__Prolixibacteraceae
N7795	f__Tannerellaceae
N7797	f__Barnesiellaceae
N7799	f__Bacteroidaceae
N7805	g__Syntrophus
N7809	g__Desulfobacula
N7812	g__Acetobacter
N7813	s__Candidatus Endolissoclinum faulkneri
N7818	s__Rhizorhabdus wittichii
N7826	f__Sphingomonadaceae_5; g__Blastomonas
N7830	g__Thioclava
N7834	g__Jannaschia
N7838	g__Oceanicaulis
N7851	g__Achromobacter
N7855	g__Herbaspirillum
N7856	g__Burkholderia
N7861	g__Limnohabitans
N7890	s__Legionella jordanis
N7894	s__Legionella pneumophila
N7895	s__Acinetobacter pittii
N7911	g__Marinospirillum
N7920	s__Idiomarina loihiensis
N7924	g__Alteromonas
N7927	f__Alteromonadaceae_3; g__Alishewanella
N7928	f__Chromatiaceae_4; g__Arsukibacterium
N7940	g__Salinivibrio
N7943	g__Aliivibrio
