Table S10. Related to section “What forces may be behind a prokaryotic cell size optimum? “ Estimates of ordinary least squares regression between KEGG pathways and volume-to-surface ratio. The fraction of total number of base pairs of all genes in a pathway divided by genome size was used as a measure of ecological/evolutionary relevance of a pathway. ɑ: Intercept, β: slope, P: p-value, R2: coefficient of determination, and AIC: Akaike Information Criterion value. 								
Pathway name	ɑ	Standard error	P-value	β	Standard error	P-value	R2	AIC
Chlorocyclohexane and chlorobenzene degradation	0.000470089864244	5.88499966807493E-05	2.90229098464151E-15	3.63963295058245E-05	6.48408487815182E-05	0.574673380964611	-0.000503873030486	-16487.4573363655
Toluene degradation	0.000342108496661	5.82047417266704E-05	5.22780856446455E-09	1.10560851484529E-05	6.41299077235276E-05	0.863147650543772	-0.000713948889637	-16517.4672582107
Xylene degradation	0.000314725737902	8.54333778569343E-05	0.000238735457551	-0.000104253115361	9.41303831258814E-05	0.268256739286172	0.000166622007943	-15472.8452053389
Nitrotoluene degradation	0.000663721875629	0.000103706731212	2.13404315405679E-10	0.000142548607294	0.000114263939769	0.212415222038325	0.000408914389901	-14945.2395160426
Ethylbenzene degradation	0.000215455584255	3.74928516685814E-05	1.12267191137136E-08	-5.98870456607065E-05	4.1309574554753E-05	0.147369170121438	0.000809395138622	-17714.647857637
Styrene degradation	0.00113850729333	0.000114925750035	2.19123237815487E-22	-0.00032266937071	0.000126625039923	0.010936441224751	0.004023059800247	-14665.637732763
Atrazine degradation	0.000545263122085	6.1546194255032E-05	2.4637227950491E-18	0.000238433344291	6.78115157154103E-05	0.000452310415785	0.008285983038929	-16365.5219665884
Caprolactam degradation	0.000680940465087	0.000107751542555	3.54866721189797E-10	-0.00021176896239	0.000118720507576	0.074685657407184	0.001601696507771	-14841.0930158703
Bisphenol degradation	7.66711750797693E-06	7.88283118789679E-06	0.330907824041441	-9.19232104755284E-06	8.68529301365023E-06	0.290071332372521	8.83477109394626E-05	-21959.5065940979
Dioxin degradation	0.00015302805423	4.8927730560521E-05	0.001799602725188	-3.01367260738514E-05	5.39085090472976E-05	0.576230159085209	-0.000505755826709	-16990.0677073226
Naphthalene degradation	0.000550152623455	4.95948190106437E-05	1.96248151929757E-27	0.000198817419754	5.46435062224538E-05	0.000284560748089	0.0089184843782	-16953.2062473054
Polycyclic aromatic hydrocarbon degradation	0.000121648408578	2.91738970372304E-05	3.24208244163126E-05	3.75013386428412E-05	3.21437613058936E-05	0.24354612416696	0.000265467531342	-18397.5321125342
Furfural degradation	5.49416396510677E-05	2.28202051943756E-05	0.016190889402487	2.41379941841076E-05	2.51432720072821E-05	0.337216912765556	-5.76249404109497E-05	-19066.1316268904
Steroid degradation	-2.14197252700111E-05	8.73039128925183E-05	0.806225053406144	-0.000286902694129	9.61913361628169E-05	0.002908810733832	0.005772406830789	-15413.8909936953
Metabolism of xenobiotics by cytochrome P450	0.000823541062675	8.29726240906873E-05	1.83503479391937E-22	0.00020641898969	9.141912786938E-05	0.024107434385475	0.003004400201063	-15552.3987657521
Drug metabolism - cytochrome P450	0.000828433545106	8.72500870155149E-05	9.52755495601162E-21	0.000200766778478	9.61320308824744E-05	0.03694314696105	0.002465682140756	-15415.5697182381
Drug metabolism - other enzymes	0.001828010090343	0.000103161769037	2.26764878080881E-63	-0.00104691763699	0.000113663501163	1.19087953133574E-19	0.058065121936393	-14959.5809017215
RNA polymerase	0.001601093773952	0.000150924912674	2.57608414687424E-25	-0.00143192318188	0.000166288869872	1.97267053723447E-17	0.051041629475236	-13923.9031359732
Basal transcription factors	0.000413809653995	7.34482888207655E-05	2.1372209966102E-08	0.000151970273787	8.09252278215743E-05	0.060607502892328	0.001854308829743	-15884.2898249699
Spliceosome	-4.97924853033449E-07	4.55002762608339E-07	0.274002572656419	-7.03712345513807E-07	5.01321444171145E-07	0.160632244554479	0.000713031901021	-29723.0287221664
Ribosome	0.003575034141875	0.000320092632648	9.00160106928851E-28	-0.003720731163283	0.000352677640786	4.59068283759674E-25	0.075019600946042	-11877.4273612016
Aminoacyl-tRNA biosynthesis	0.007516990783554	0.000580561623833	3.05439699278474E-36	-0.006051762666579	0.000639662031988	1.29390007236175E-20	0.061102976391999	-10256.7879729054
Nucleocytoplasmic transport	0.000123050928056	2.87333179201054E-05	1.97773852195702E-05	6.74009769831819E-05	3.16583318153064E-05	0.033432626369242	0.002590838691887	-18438.9528404703
mRNA surveillance pathway	0.000115904824915	2.76386883711907E-05	2.92367410364E-05	5.82943512597694E-05	3.04522704209788E-05	0.055793449313875	0.001955353240976	-18544.6775220611
Ribosome biogenesis in eukaryotes	0.000625806473183	9.46159813827347E-05	5.35741429254937E-11	0.000140251836684	0.000104247763588	0.178730141539456	0.000595249166047	-15194.957498336
Protein export	0.002589571106818	0.000160974082185	1.9588739595465E-53	-0.001937723137815	0.000177361031595	1.08309972025647E-26	0.080063097127707	-13748.4404961297
Protein processing in endoplasmic reticulum	0.000644962917405	8.26363571772118E-05	1.18151787516938E-14	-1.48950212945461E-06	9.10486294272956E-05	0.986950060468005	-0.000735638096194	-15563.4527531553
SNARE interactions in vesicular transport	0	0		0	0			-inf
Ubiquitin mediated proteolysis	5.06648515609658E-08	4.0556611231937E-07	0.900602368309415	-9.56488721435872E-08	4.46852208037774E-07	0.830539902396667	-0.000702097335315	-30036.1120497425
Sulfur relay system	0.002140493199904	9.75046245999354E-05	1.13858664146098E-91	0.000110211097897	0.000107430466878	0.305129263750492	3.85544599311727E-05	-15113.0976749797
Proteasome	0.000227746297125	4.36506512145596E-05	2.09531705079567E-07	7.54860923036623E-05	4.80942299788421E-05	0.116753625209275	0.001074926916296	-17300.7190105785
RNA degradation	0.004397718486372	0.00020099831437	3.74373638252109E-91	-0.00199388094362	0.000221459677867	7.20704432496835E-19	0.055595214005525	-13144.011821841
DNA replication	0.004793537190633	0.000350499003653	5.47521395795375E-40	-0.002757839695478	0.000386179340285	1.50121047417303E-12	0.035460172579285	-11630.4128488508
Base excision repair	0.002740087311781	0.000126970747046	4.690703394424E-89	-0.001233954543588	0.000139896201754	3.42466890593071E-18	0.053452927675839	-14394.3347577091
Nucleotide excision repair	0.003813158157234	0.000248062045157	2.7595952045608E-49	-0.002800230677081	0.000273314434421	8.85291919640725E-24	0.071018798307169	-12571.3509966616
Mismatch repair	0.005391985897281	0.000388914345631	5.58818718798542E-41	-0.00321814025722	0.000428505313447	1.06507033404891E-13	0.039142501913341	-11347.3214072453
Homologous recombination	0.005088426852849	0.000452296843665	3.87745897107982E-28	-0.004125249567809	0.000498340066245	2.96136814306084E-16	0.047302127714613	-10936.3550180993
Non-homologous end-joining	0.000268989394601	4.94397401322016E-05	6.28575020316529E-08	-5.05450533440982E-05	5.44726405185725E-05	0.353625256060746	-0.000102220249734	-16961.7310502792
Fanconi anemia pathway	0.000159805349112	3.81263929670384E-05	2.95064108042147E-05	9.46887165114496E-05	4.20076095224174E-05	0.024349574472479	0.002991683666118	-17669.0367232526
Viral genome structure	0	0		0	0			-inf
Viral replication	0	0		0	0			-inf
Viral life cycle - HIV-1	2.57660703560564E-05	1.75617057860264E-05	0.142560220346834	-9.35648768343736E-05	1.93494642896002E-05	1.47912309535144E-06	0.016191129451517	-19779.0931436684
Virion - Human immunodeficiency virus	0	0		0	0			-inf
Virion - Coronavirus	0	0		0	0			-inf
Virion - Influenza A virus	0	0		0	0			-inf
Virion - Enterovirus	0	0		0	0			-inf
Virion - Flavivirus	0	0		0	0			-inf
Virion - Lyssavirus	0	0		0	0			-inf
Virion - Herpesvirus	0	0		0	0			-inf
Virion - Orthopoxvirus	0	0		0	0			-inf
Virion - Adenovirus	0	0		0	0			-inf
ABC transporters	0.025253604856222	0.001446843587811	1.03082251252161E-61	0.002460780166455	0.001594130358184	0.122905830500097	0.001015773733593	-7771.21089038951
Phosphotransferase system (PTS)	0.001742663801017	0.000402592375227	1.61051180136461E-05	-0.00047228885061	0.000443575748429	0.287186811941438	9.82639493698478E-05	-11253.2342632234
Bacterial secretion system	0.004872624176493	0.000359793548966	2.73186562219729E-39	-0.001329262083757	0.000396420058061	0.000820912035725	0.007475837393973	-11559.1712275574
Two-component system	0.031473787387293	0.001526736771444	2.23193849696399E-82	0.005246669672273	0.001682156562615	0.001852705214828	0.006376903244305	-7624.90806984872
MAPK signaling pathway	0	0		0	0			-inf
MAPK signaling pathway - fly	0.000150472724567	1.38193472609129E-05	1.57054610949271E-26	-3.56887112096397E-05	1.52261385988702E-05	0.019226163711492	0.00329346868807	-20431.4235417992
MAPK signaling pathway - plant	0.001428756558689	8.11949521166589E-05	1.33857430428212E-62	0.000209460997768	8.94604912312776E-05	0.019356468776636	0.003284806784639	-15611.3508726485
MAPK signaling pathway - yeast	0.000379099038581	4.72502824500186E-05	2.20717636309424E-15	6.92620159048709E-05	5.20602989299382E-05	0.18360342622219	0.000565867094256	-17085.0265587005
ErbB signaling pathway	0	0		0	0			-inf
Ras signaling pathway	8.94327914176969E-05	1.65995007858132E-05	8.40297751933171E-08	5.13211115705019E-05	1.82893080885031E-05	0.005086489237982	0.005029021490585	-19932.4726777396
Rap1 signaling pathway	0	0		0	0			-inf
Wnt signaling pathway	3.65887468890631E-06	2.53125931539151E-06	0.148554769250754	1.67298256693661E-06	2.78893817762609E-06	0.548697127591074	-0.000470930222814	-25051.6174652279
Notch signaling pathway	4.99572165572654E-06	1.41091241745684E-06	0.000412431077768	4.51180190201291E-06	1.55454144204245E-06	0.003763643814135	0.005428863200288	-26642.5729298386
Hedgehog signaling pathway	1.10040710022884E-05	4.37198551466015E-06	0.011951863890784	4.31845545091629E-06	4.81704787799586E-06	0.370147653564965	-0.000144357719662	-23564.0435803562
Hedgehog signaling pathway - fly	1.10040710022884E-05	4.37198551466015E-06	0.011951863890784	4.31845545091629E-06	4.81704787799586E-06	0.370147653564965	-0.000144357719662	-23564.0435803562
TGF-beta signaling pathway	0	0		0	0			-inf
Hippo signaling pathway	0	0		0	0			-inf
Hippo signaling pathway - fly	0	0		0	0			-inf
Hippo signaling pathway - multiple species	0	0		0	0			-inf
VEGF signaling pathway	6.55237538998076E-07	9.28021390247121E-07	0.480272677121336	4.71735006436569E-07	1.02249274468883E-06	0.644615751249723	-0.000579121200091	-27782.9197060049
Apelin signaling pathway	2.53753831514177E-05	5.99418561924766E-06	2.45714741791727E-05	1.43719417231275E-05	6.60438581525235E-06	0.029717986403963	0.002739168981617	-22705.0547486035
JAK-STAT signaling pathway	0	0		0	0			-inf
NF-kappa B signaling pathway	6.55237538998076E-07	9.28021390247121E-07	0.480272677121336	4.71735006436569E-07	1.02249274468883E-06	0.644615751249723	-0.000579121200091	-27782.9197060049
TNF signaling pathway	6.55237538998076E-07	9.28021390247121E-07	0.480272677121336	4.71735006436569E-07	1.02249274468883E-06	0.644615751249723	-0.000579121200091	-27782.9197060049
HIF-1 signaling pathway	0.00100428982948	7.65660472416381E-05	4.27036900654465E-37	-0.000709145857326	8.43603699406432E-05	1.05584888208514E-16	0.048727097077545	-15771.1304984465
FoxO signaling pathway	0.000514553506634	5.85217475094828E-05	4.33647282966913E-18	-0.000111078496907	6.44791842772327E-05	0.085169709879067	0.001444752541875	-16502.6824074385
Calcium signaling pathway	9.69627416347207E-05	1.3259905992655E-05	4.46338797319317E-13	7.94566985183899E-05	1.46097469468191E-05	6.36020704923149E-08	0.020581095369982	-20543.909349483
Phosphatidylinositol signaling system	0.00028688841654	2.65584545581451E-05	3.74743469191241E-26	-0.000207509019244	2.92620702294589E-05	2.12855953208411E-12	0.034973648824723	-18653.199327728
Phospholipase D signaling pathway	2.79726424458257E-05	1.3911304306294E-05	0.044545371701493	-4.19398650870764E-06	1.53274567502764E-05	0.784413839324459	-0.000680704927151	-20413.3707387904
Sphingolipid signaling pathway	6.71900714527269E-05	3.15846388048904E-05	0.033574635944388	-4.4657126404893E-05	3.47999134082652E-05	0.199621903331365	0.000475318600757	-18181.4147953318
cAMP signaling pathway	2.42511059429848E-05	2.31789196127607E-05	0.295628460836821	-7.26816231933538E-05	2.55385030806912E-05	0.004494224020649	0.005193113439356	-19023.6768869458
cGMP-PKG signaling pathway	5.67572550240751E-07	3.83239968846469E-07	0.138842436986605	4.92444778440356E-07	4.22253292584064E-07	0.243725778909194	0.00026470504961	-30190.23864659
PI3K-Akt signaling pathway	0.000229707553004	3.89596190954229E-05	4.69109700067688E-09	-0.000255144222681	4.29256569725213E-05	3.53324597859262E-09	0.02462079928967	-17610.1899935754
AMPK signaling pathway	0.000388998511892	4.06830349802474E-05	5.21485935115236E-21	-0.00015186537315	4.48245143230456E-05	0.000724185378689	0.007645892625229	-17492.3669369317
mTOR signaling pathway	2.53753831514177E-05	5.99418561924766E-06	2.45714741791727E-05	1.43719417231275E-05	6.60438581525235E-06	0.029717986403963	0.002739168981617	-22705.0547486035
Plant hormone signal transduction	1.30888464065783E-05	4.26339882850785E-06	0.002182651944299	1.21210290337421E-05	4.69740721030504E-06	0.009973700961161	0.004143267641532	-23632.503426082
Neuroactive ligand-receptor interaction	9.73960992931678E-05	1.02932650900598E-05	1.27953861965885E-20	4.03703714675029E-05	1.13411059102229E-05	0.000384147044915	0.008508679979727	-21233.2697005826
Cytokine-cytokine receptor interaction	0	0		0	0			-inf
Viral protein interaction with cytokine and cytokine receptor	0	0		0	0			-inf
ECM-receptor interaction	2.57556273505874E-06	5.20453418055759E-06	0.620772573249126	2.65392415283948E-07	5.73434890082445E-06	0.963092941662407	-0.000734257895462	-23089.5637403902
Cell adhesion molecules	0	0		0	0			-inf
Quorum sensing	0.017757636580576	0.001012559126324	3.13414357159746E-62	0.00092393656412	0.001115636310881	0.407719622425268	-0.000231034534418	-8742.70203508739
Biofilm formation - Vibrio cholerae	0.002976754832427	0.000281582835657	3.71277735946611E-25	0.000117219810781	0.000310247597215	0.705618375125607	-0.000630726257093	-12226.3435597946
Biofilm formation - Pseudomonas aeruginosa	0.007907748902622	0.000709762237287	1.1929790971744E-27	0.002165935523373	0.000782015097612	0.005687396571516	0.004881317089973	-9709.84539376924
Biofilm formation - Escherichia coli	0.004359364369338	0.000262421287699	1.45985177816206E-56	0.001186440353039	0.000289135428929	4.31317991415518E-05	0.011511493268766	-12418.1778403747
Bacterial chemotaxis	0.005475464144247	0.00076047616772	9.93106681194221E-13	-0.001084695048209	0.000837891639325	0.195694423639331	0.000496714329101	-9521.98728055098
Flagellar assembly	0.002671220749556	0.000567009487151	2.71685810775647E-06	-0.002918032724382	0.000624730305653	3.29643815308294E-06	0.015075862145144	-10321.0813848058
Cell cycle - Caulobacter	0.004545815758417	0.000311482551765	6.34682652363863E-45	-0.00069673464064	0.000343191065016	0.042534163746881	0.002290017113547	-11951.6484288105
Cell cycle	6.4635745909521E-05	1.76825329611759E-05	0.000266626651852	3.54304194720841E-05	1.94825915119359E-05	0.06919737458357	0.001693590079702	-19760.4295055274
Regulation of actin cytoskeleton	0	0		0	0			-inf
