Pathway name,ko,Number of genes,Alpha,Standard error,P-value alpha,Beta,Standard error,P-value beta,R squared adj,AIC
Prodigiosin biosynthesis,ko00333,20,9086.262565496076,717.5432018053468,8.065107725663813e-35,4869.61496352496,790.5881540633335,9.59468818139458e-10,0.026442983455781333,27925.65263902407
Aflatoxin biosynthesis,ko00254,20,0.0,0.0,,0.0,0.0,,,-inf
Biosynthesis of various antibiotics,ko00998,74,753.4672595272505,177.39531149010912,2.3098670113645442e-05,-98.55889231380792,195.453920401717,0.6141629453350528,-0.0005486283813675996,24121.78688802192
Biosynthesis of various plant secondary metabolites,ko00999,73,5293.200497260188,604.8101600583537,6.104734817709979e-18,-322.3510965864174,666.3790372429672,0.628651635466391,-0.0005635527889626957,27460.412390472255
Biosynthesis of various other secondary metabolites,ko00997,42,725.4334858081364,152.97736218989962,2.3378214428644987e-06,178.46901559087783,168.55025604437344,0.2898574018372673,8.907883453002086e-05,23718.684030946515
Benzoate degradation,ko00362,106,14961.081142095172,1803.834954126464,2.6043536908374417e-16,61.535281451614594,1987.462975092927,0.9753046105604387,-0.0007351292618753558,30434.893089661
Aminobenzoate degradation,ko00627,89,8565.185877393531,932.9016490626351,1.5411685115113692e-19,976.5504476369834,1027.8698074198276,0.34224453191877013,-7.159554147850855e-05,28640.08679021175
Fluorobenzoate degradation,ko00364,18,1582.5693500334455,213.5348516078149,2.1899400823817174e-13,564.1938049099415,235.27241807331166,0.016617042579283817,0.003480942908104079,24626.49854444683
Chloroalkane and chloroalkene degradation,ko00625,43,5807.296047985102,321.4920576916955,1.5388016525559134e-65,3062.6588910833216,354.2195254543715,1.4740511959119705e-17,0.05144321198033652,25740.266853597223
Chlorocyclohexane and chlorobenzene degradation,ko00361,41,2597.5070529717,299.41015454254796,1.1563416416291333e-17,739.619901583334,329.8897136674768,0.02512075167806027,0.0029520400769090793,25546.573547959546
Toluene degradation,ko00623,46,1918.7247228326569,282.67839312367244,1.6974512959131634e-11,483.8445942353022,311.45468098777854,0.1205367566730526,0.0010381562067321992,25390.046145581604
Xylene degradation,ko00622,34,1490.3402338834762,394.7826147458433,0.0001668441404086378,-278.6789473050494,434.97096462336896,0.5218360107938933,-0.00043366149787438246,26299.26339222975
Nitrotoluene degradation,ko00633,22,2691.5157135254494,277.82798057281997,1.65540808270141e-21,1062.5400957658449,306.11050283184875,0.0005345728213824077,0.008058455508857199,25342.934629412062
Ethylbenzene degradation,ko00642,16,1068.2819157257413,160.29818380218168,3.8529972389495206e-11,-77.2287551476366,176.61632764831168,0.6619861182856908,-0.0005950570193553606,23845.92604044948
Styrene degradation,ko00643,25,6422.767159595234,608.194915128009,4.142963523903189e-25,733.9495901267076,670.1083559177766,0.2735924259904282,0.00014675523129847878,27475.60330335563
Atrazine degradation,ko00791,16,2986.0811832702475,268.19612046826586,1.2881241558051212e-27,1699.67462103032,295.4981320629575,1.0887226471896676e-08,0.023047678302923535,25246.892557032912
Caprolactam degradation,ko00930,22,3544.8404213949843,537.8962715047624,6.266693817590034e-11,-313.1605757480507,592.6534030237549,0.5973050654220708,-0.0005302729158500608,27141.26092255086
Bisphenol degradation,ko00363,2,43.62873981477567,39.90545724377063,0.274454721216389,-37.083701551339026,43.967780197803854,0.39913697649887125,-0.00021227114975275185,20060.923408956456
Dioxin degradation,ko00621,31,735.4659733231113,233.13462769418965,0.001641938477511583,-69.36854837554303,256.8674255337617,0.7871582969561906,-0.0006821339920044522,24865.533776032644
Naphthalene degradation,ko00626,29,2683.1359440519054,165.826502131347,5.496686750664187e-54,1474.7332536209155,182.7074214973409,1.5140730285612248e-15,0.04504442747141113,23938.219109758134
Polycyclic aromatic hydrocarbon degradation,ko00624,43,649.8546795096249,149.60264769543605,1.5039418898346723e-05,243.26108946111998,164.8320000620772,0.14022594240973127,0.0008654429180340317,23657.963867879327
Furfural degradation,ko00365,8,281.941423472053,109.00938082033406,0.00980172600935489,138.74016312482377,120.10639211897089,0.24823457490694775,0.0002457905797974558,22796.31797225905
Steroid degradation,ko00984,15,-34.85771289696869,482.9352541178297,0.9424701946005396,-1361.7230116891162,532.097426502685,0.010600008073024489,0.004063789778159244,26847.875208784066
Metabolism of xenobiotics by cytochrome P450,ko00980,34,4361.697257694866,386.1607990191128,2.4336881979766414e-28,1842.3586807405732,425.47145941877613,1.5993564314138168e-05,0.012883517032119207,26239.157792844835
Drug metabolism - cytochrome P450,ko00982,25,4529.851807535051,409.10946361344827,2.4205650838305673e-27,1933.5770906684197,450.75626782363094,1.9162823958626873e-05,0.012633152389247115,26396.29585031804
Drug metabolism - other enzymes,ko00983,32,10429.568392541736,459.67195823254536,6.644929740956655e-97,458.79628425411005,506.46595775613105,0.36516109412213227,-0.00013191839417081574,26713.49144498155
RNA polymerase,ko03020,66,9649.641138271669,110.91649485887953,0.0,445.95632043387457,122.20764785316004,0.00027305394998219126,0.008974921332838393,22843.52746521027
Basal transcription factors,ko03022,36,1675.350046167453,210.92662088351426,4.112956027304601e-15,879.6372160310909,232.39867289879396,0.00016037855211314264,0.009703805643303642,24593.045833891738
Spliceosome,ko03040,123,-1.821905543474832,1.6648537433756243,0.27400257265641936,-2.5748813610979817,1.834333660257887,0.16063224455447875,0.0007130319010210107,11413.739654647034
Ribosome,ko03010,143,22162.965731880402,146.1416494942203,0.0,-219.74916974805973,161.018676805399,0.17255963855973644,0.0006338071765534803,23594.251618495873
Aminoacyl-tRNA biosynthesis,ko00970,66,44313.51725454517,389.28508889825684,0.0,2458.7200029217056,428.91379788996034,1.2180407989932451e-08,0.022890793860783742,26261.091916684913
Nucleocytoplasmic transport,ko03013,98,275.07114868242155,57.32782001118483,1.777537935432361e-06,159.49740630861587,63.163716533144246,0.01167810869578321,0.00393762961939903,21047.030333550774
mRNA surveillance pathway,ko03015,63,297.6602386285375,58.82760290938464,4.769565648209455e-07,175.38112581554083,64.81617535374248,0.006898745734256398,0.004626642057951269,21117.32642196158
Ribosome biogenesis in eukaryotes,ko03008,83,2121.3646367346423,181.75499831878133,4.589859436264754e-30,756.6385396375287,200.25741760370042,0.00016471191101981027,0.009667231612462857,24187.874262341487
Protein export,ko03060,39,15528.697602420865,370.40379675355945,3.357700974481212e-247,739.0315185281765,408.1104150895248,0.07038299817376203,0.0016730931877707578,26125.75898062165
Protein processing in endoplasmic reticulum,ko04141,144,2886.5816249268055,192.6098615318072,4.1771503782156483e-47,799.5066305868048,212.21729158564935,0.00017201447047303494,0.009607733173963795,24345.769542511676
SNARE interactions in vesicular transport,ko04130,35,0.0,0.0,,0.0,0.0,,,-inf
Ubiquitin mediated proteolysis,ko04120,133,0.46569219935611383,2.7023016804601006,0.8632024360696751,-0.520066498180427,2.9773924300334373,0.8613635443457605,-0.0007133686511191506,12732.185557124434
Sulfur relay system,ko04122,29,10693.980199201531,361.3375122195349,5.500516525186697e-149,3603.8462782304305,398.1211947388429,4.733536001419198e-19,0.056172402130514776,26058.304296485687
Proteasome,ko03050,49,619.2775936797711,121.36049101004694,3.820928327460958e-07,157.98043470466448,133.71482904785543,0.23762165449517192,0.0002910020570061622,23088.474151479415
RNA degradation,ko03018,79,24589.45296801858,590.1447589004518,3.6938354673362445e-245,3154.57516898591,650.2207175754509,1.3663881567127907e-06,0.01630154010499063,27393.596101889583
DNA replication,ko03030,60,27131.394265232695,488.52637548727154,0.0,3756.292862847363,538.2577166587198,4.645442746601422e-12,0.033885784124803364,26879.20779042604
Base excision repair,ko03410,52,14927.38512928824,304.6126987949714,1.2037078037303999e-302,1881.1739234132872,335.62187006810564,2.5179874271527496e-08,0.021875798557854487,25593.464739527695
Nucleotide excision repair,ko03420,61,22254.389961782406,528.5000876342821,1.1423097742211442e-248,816.4799656182317,582.3007000189567,0.16109521908288826,0.0007098329279489057,27093.291751999153
Mismatch repair,ko03430,44,31316.91716751302,737.3939730420761,1.5569946626707568e-251,3899.940585013666,812.4597076496453,1.76059548004912e-06,0.01594856731984573,27999.933719248562
Homologous recombination,ko03440,72,32009.43711032626,888.9246633029323,6.137615129017379e-200,2693.3562963577233,979.4160224692394,0.006039254750095496,0.004802040846753841,28508.648778918392
Non-homologous end-joining,ko03450,19,1146.4795325665582,219.63059320927823,2.0671433014426486e-07,-206.15258549958477,241.98869813592358,0.39441415588943185,-0.00020169464051322805,24703.11455471527
Fanconi anemia pathway,ko03460,54,407.7635854552188,85.40898596412518,1.9989073967446607e-06,257.76728749615825,94.10350817053163,0.006239611332186212,0.0047589761830578725,22132.197270339642
Viral genome structure,ko03230,119,0.0,0.0,,0.0,0.0,,,-inf
Viral replication,ko03240,130,0.0,0.0,,0.0,0.0,,,-inf
Viral life cycle - HIV-1,ko03250,60,129.95796417335382,59.44983009333077,0.028984957852007432,-283.54950625106164,65.50174444495023,1.6085029193625774e-05,0.012875617602945644,21145.966171347456
Virion - Human immunodeficiency virus,ko03260,20,0.0,0.0,,0.0,0.0,,,-inf
Virion - Coronavirus,ko03262,28,0.0,0.0,,0.0,0.0,,,-inf
Virion - Influenza A virus,ko03261,12,0.0,0.0,,0.0,0.0,,,-inf
Virion - Enterovirus,ko03263,13,0.0,0.0,,0.0,0.0,,,-inf
Virion - Flavivirus,ko03264,14,0.0,0.0,,0.0,0.0,,,-inf
Virion - Lyssavirus,ko03265,8,0.0,0.0,,0.0,0.0,,,-inf
Virion - Herpesvirus,ko03266,32,0.0,0.0,,0.0,0.0,,,-inf
Virion - Orthopoxvirus,ko03268,46,0.0,0.0,,0.0,0.0,,,-inf
Virion - Adenovirus,ko03267,19,0.0,0.0,,0.0,0.0,,,-inf
ABC transporters,ko02010,515,130200.69219839241,7263.78859147389,1.1662542942105526e-64,46228.56739425518,8003.232696778442,9.456842289691777e-09,0.02324456149639731,34226.60263845304
Phosphotransferase system (PTS),ko02060,72,9999.543522235621,1253.6338287706365,3.1721720948627706e-15,3235.834805513961,1381.2521003132458,0.019289320602781723,0.0032892628518477185,29444.44294659892
Bacterial secretion system,ko03070,74,28780.370175089636,1566.1849718006474,1.562452517654743e-67,6996.003876375335,1725.6205377770486,5.31614909637073e-05,0.011222986392249945,30050.350105054866
Two-component system,ko02020,499,171732.60962958777,8357.293857424922,6.326180278014708e-82,69531.7803457757,9208.055357618428,7.87669019111436e-14,0.039561912531079435,34608.31723505406
MAPK signaling pathway,ko04010,243,0.0,0.0,,0.0,0.0,,,-inf
MAPK signaling pathway - fly,ko04013,84,893.4467125471025,51.04481904833894,5.117896971429968e-62,237.4262129381653,56.24111435295944,2.5871293437883255e-05,0.01221778746262514,20731.055213238636
MAPK signaling pathway - plant,ko04016,54,6779.184250365985,334.51934431121686,5.3473783618770805e-80,2290.3847316928063,368.57297268245253,6.846900649108869e-10,0.026914565208579266,25848.389780918038
MAPK signaling pathway - yeast,ko04011,91,1686.5781626342757,188.74402857651845,1.2860125641337703e-18,435.6716742738313,207.9579219304853,0.03635578941694329,0.0024857333288850203,24290.581130671137
ErbB signaling pathway,ko04012,69,0.0,0.0,,0.0,0.0,,,-inf
Ras signaling pathway,ko04014,182,556.7155720769914,82.62339125345426,2.3653222348351243e-11,395.1191175386751,91.03434358958793,1.5280468875308316e-05,0.012946704075926574,22041.93986111339
Rap1 signaling pathway,ko04015,162,0.0,0.0,,0.0,0.0,,,-inf
Wnt signaling pathway,ko04310,126,35.530997472143895,11.86410285903007,0.0027956356244313117,27.466640137392925,13.071852893789352,0.035806751637241965,0.002504785033716317,16759.14880616657
Notch signaling pathway,ko04330,36,37.34000368807358,8.430595194606312,1.022139976427774e-05,35.032979206837226,9.288818674317412,0.00016922407873490395,0.009630162822863442,15829.17777624793
Hedgehog signaling pathway,ko04340,45,52.19368947458781,19.983491558648733,0.00910484886522254,19.198413985058895,22.017784662083862,0.38338950768756264,-0.00017628303410965884,18178.37030654751
Hedgehog signaling pathway - fly,ko04341,26,52.19368947458781,19.983491558648733,0.00910484886522254,19.198413985058895,22.017784662083862,0.38338950768756264,-0.00017628303410965884,18178.37030654751
TGF-beta signaling pathway,ko04350,96,0.0,0.0,,0.0,0.0,,,-inf
Hippo signaling pathway,ko04390,115,0.0,0.0,,0.0,0.0,,,-inf
Hippo signaling pathway - fly,ko04391,53,0.0,0.0,,0.0,0.0,,,-inf
Hippo signaling pathway - multiple species,ko04392,25,0.0,0.0,,0.0,0.0,,,-inf
VEGF signaling pathway,ko04370,39,5.791659022429855,8.202801484864883,0.4802726771213359,4.169676100062976,9.037835865144944,0.6446157512497229,-0.0005791212000902934,15754.617750010511
Apelin signaling pathway,ko04371,105,55.80805909158471,11.391010566826415,1.0772108136212027e-06,33.63764163045753,12.550600429751176,0.007447590905153804,0.004525943322545634,16648.38306696073
JAK-STAT signaling pathway,ko04630,143,0.0,0.0,,0.0,0.0,,,-inf
NF-kappa B signaling pathway,ko04064,97,5.791659022429855,8.202801484864883,0.4802726771213359,4.169676100062976,9.037835865144944,0.6446157512497229,-0.0005791212000902934,15754.617750010511
TNF signaling pathway,ko04668,94,5.791659022429855,8.202801484864883,0.4802726771213359,4.169676100062976,9.037835865144944,0.6446157512497229,-0.0005791212000902934,15754.617750010511
HIF-1 signaling pathway,ko04066,76,6107.990968650896,181.9078036159406,1.7130978664766257e-180,646.7352402521791,200.4257782787208,0.0012816402003633248,0.0068732269164949455,24190.16174426778
FoxO signaling pathway,ko04068,102,2643.3583975442752,231.14878767877465,5.586789852360872e-29,290.3120984721916,254.67942962201462,0.2545238927823327,0.00022009788014587528,24842.248475258
Calcium signaling pathway,ko04020,198,610.5855074549497,60.39762823399725,3.2436100147936534e-23,549.1710657997698,66.54602718718637,3.629269434801577e-16,0.04702093340225244,21189.020239600126
Phosphatidylinositol signaling system,ko04070,55,1857.3346431829168,99.13159982415834,7.46073936090631e-70,157.98097504817449,109.2230660358023,0.14829375198437642,0.0008023647791546296,22537.76694439757
Phospholipase D signaling pathway,ko04072,108,146.03461805048477,60.61515604390923,0.01611941029709991,6.827619614272997,66.78569904145668,0.9185878000477253,-0.0007281391148228344,21198.80616990265
Sphingolipid signaling pathway,ko04071,83,597.4205296936063,183.7490047874892,0.0011770109055594968,72.97394560893383,202.45441130292267,0.7185694134303442,-0.00064017313092668,24217.574289754324
cAMP signaling pathway,ko04024,172,108.5069880204665,95.46249058787342,0.2558869922404042,-291.3344745528227,105.18044631496474,0.005684465130395735,0.004881998353253203,22435.10710379895
cGMP-PKG signaling pathway,ko04022,121,3.741661917259328,2.4475352307348386,0.1265599085985333,3.241355972020619,2.6966910914954925,0.22958251629840176,0.00032691112523208776,12462.64660009592
PI3K-Akt signaling pathway,ko04151,268,1517.7482590325371,137.09919512406887,2.4713933156188854e-27,-203.81239644809384,151.05571249786553,0.17748040865868517,0.0006029333640574785,23420.393021078446
AMPK signaling pathway,ko04152,85,2230.0940660592296,151.76170161428644,1.7680468243269095e-45,303.6445058085581,167.21084282434222,0.06960017000021207,0.0016865847699638614,23696.96679129547
mTOR signaling pathway,ko04150,117,55.80805909158471,11.391010566826415,1.0772108136212027e-06,33.63764163045753,12.550600429751176,0.007447590905153804,0.004525943322545634,16648.38306696073
Plant hormone signal transduction,ko04075,45,56.78118118465527,18.2771586304985,0.0019312269795126224,53.029600878326285,20.137749290708783,0.008550816136374819,0.004344641203642086,17935.41984972201
Neuroactive ligand-receptor interaction,ko04080,332,487.4557133853256,37.65714385994649,3.170443860223691e-36,283.37090653104315,41.490591474670204,1.2791253742908017e-11,0.032473093225979466,19903.07352010295
Cytokine-cytokine receptor interaction,ko04060,274,0.0,0.0,,0.0,0.0,,,-inf
Viral protein interaction with cytokine and cytokine receptor,ko04061,120,0.0,0.0,,0.0,0.0,,,-inf
ECM-receptor interaction,ko04512,66,10.88316408064804,22.171431152106553,0.6236016779120673,1.0699859931980942,24.428453622561506,0.9650696180135634,-0.000734422428454673,18461.18083798667
Cell adhesion molecules,ko04514,109,0.0,0.0,,0.0,0.0,,,-inf
Quorum sensing,ko02024,283,89138.52535918704,5412.217919505306,1.0418187667350405e-55,26168.051002768632,5963.174570680339,1.2308839256993892e-05,0.013246411704218142,33425.67438524174
Biofilm formation - Vibrio cholerae,ko05111,106,16236.003366625753,1201.9123791399147,4.123829676510003e-39,5689.529228872121,1324.2654752763822,1.8597450145385917e-05,0.012674616275305861,29329.758392034004
Biofilm formation - Pseudomonas aeruginosa,ko02025,90,46654.73309590091,3282.1304647345514,7.432917290842791e-43,23925.829988711666,3616.2470203618955,5.286608850520151e-11,0.03049255096201131,32064.221901712925
Biofilm formation - Escherichia coli,ko02026,61,22726.21341440843,1293.3786710348993,1.9288087067856409e-62,10433.897905506528,1425.0429151383105,4.1744860689597006e-13,0.037242399881414756,29529.400710250877
Bacterial chemotaxis,ko02030,26,33099.10875012879,3126.4007529099304,3.1877621178624786e-25,8711.540379891767,3444.6642291174444,0.01155130414256496,0.003951834503522544,31931.904611263148
Flagellar assembly,ko02040,55,16207.223639906942,1949.3292060273366,2.2148081154014314e-16,-3375.7746194282554,2147.7683500832127,0.11623918539543283,0.0010800285403912424,30646.039685455227
Cell cycle - Caulobacter,ko04112,31,27718.820383433667,1415.7565745074758,2.175121729910524e-75,9836.160996649258,1559.8787278964824,3.870418392593915e-10,0.027711734737258076,29775.486252069968
Cell cycle,ko04110,133,132.10890786040744,32.47650686332008,5.0180816521044446e-05,73.42834459164281,35.782572459605845,0.040354089223482735,0.002355461798720926,19500.201955694425
Regulation of actin cytoskeleton,ko04810,172,0.0,0.0,,0.0,0.0,,,-inf
