taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	sources	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
taxid47917	4.0	0.9	2.3538382957021526	11.309733552923255	4.0	0.9	2.3538382957021526	11.309733552923255	rod-shaped	4.0,  4.0	0.9,  0.9	bacdive	Serratia fonticola	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G001514455	6325799.0	53.69	5917.0	86.41355819241174	8.0	-0.745182344126228	0.267462089467159
taxid47959	0.9	0.3	0.0565486677646161	0.8482300164692442	0.9	0.3	0.0565486677646162	0.8482300164692442	rod-shaped	0.9,  0.9	0.3,  0.3	bacdive	Annwoodia aquaesulis	Annwoodia	Thiobacillaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	family	N3164	3201518.0	62.7	3140.0	91.67374903301211	2.0	-0.171867349149044	0.0786344808333553
taxid48003	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasmopsis pullorum	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid48074	1.3674794331177342	0.3872983346207417	0.1458932052532668	1.663858177401417	1.4	0.4	0.1591740277818828	1.759291886010284	rod-shaped	1.1,  1.7	0.3,  0.5	bacdive	Microbulbifer hydrolyticus	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7120	4349217.5	52.825	3790.0	86.15002407023582	1.0	-0.5814444979031395	0.2305751828554795
taxid48076	1.918332609325088	0.5916079783099616	0.4731203055637513	3.5653962568840925	1.95	0.6	0.4948008429403924	3.6756634047000585	rod-shaped	1.6,  2.3	0.5,  0.7	bacdive	Marinobacterium georgiense	Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9198	4380400.0	56.42	4227.0	91.54579905099676	1.0	-0.64942898922073	0.255756882077675
taxid48464	5.477225575051663	0.5	1.0427258033148834	8.603605814318218	6.5	0.5	1.2435470920459597	10.210176124166829	fusiform	3.0,  10.0	0.5,  0.5	bm4	Prosthecobacter fusiformis	Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	family	G000172155	8220857.0	60.31	6519.0	87.31440043294756	4.0	-0.431360502001869	0.1517690486565
taxid48465	5.477225575051663	1.0	4.040003519359959	17.20721162863643	6.5	1.0	4.843288674284264	20.420352248333657	fusiform	3.0,  10.0	1.0,  1.0	bm4	Prosthecobacter dejongeii	Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	family	G000172155	8220857.0	60.31	6519.0	87.31440043294756	4.0	-0.431360502001869	0.1517690486565
taxid48466	4.0	0.5	0.7526732399225546	6.283185307179585	5.0	0.5	0.9490227807719166	7.853981633974483	fusiform	2.0,  8.0	0.5,  0.5	bm4	Prosthecobacter vanneervenii	Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	family	G000172155	8220857.0	60.31	6519.0	87.31440043294756	4.0	-0.431360502001869	0.1517690486565
taxid48467	4.0	0.5	0.7526732399225546	6.283185307179585	5.0	0.5	0.9490227807719166	7.853981633974483	fusiform	2.0,  8.0	0.5,  0.5	bm4	Prosthecobacter debontii	Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	family	G000172155	8220857.0	60.31	6519.0	87.31440043294756	4.0	-0.431360502001869	0.1517690486565
taxid48782	8.48528137423857	0.1	0.0663814446845763	2.6657297628950194	9.0	0.1	0.0704240353179712	2.827433388230814	rod	6.0,  12.0	0.1,  0.1	bm4	Leptospira fainei	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	genus	N593	4320371.5	39.019999999999996	3907.0	82.56883191273826	1.0	-0.1971898744676145	0.09193106088109325
taxid49338	4.449719092257397	0.648074069840786	1.3965570393434936	9.059560154856252	4.65	0.6499999999999999	1.47111620989037	9.495463795475148	rod-shaped	3.3,  6.0	0.6,  0.7	bacdive	Desulfitobacterium hafniense	Desulfitobacterium	Peptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	species	N4380	5364943.0	47.52	5072.0	87.22868071478112	0.0	-0.293509301582332	0.132019687474609
taxid49340	5.974373322378632	0.3794733192202055	0.6583689310778912	7.122352692478563	8.725	0.38	1.0347756938443038	10.715972541394784	rod	7.0,  20.0, 1.4,  6.5	0.4,  0.4, 0.36,  0.36	bm1	Methanothermobacter thermoflexus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	genus	N477	1708954.5	49.120000000000005	1793.0	89.91108730799715	2.0	-0.12966127394599453	0.053218790090491144
taxid49547	1.6	0.3400000000000001	0.1349774811639343	1.7090264035528475	1.6	0.34	0.1349774811639343	1.7090264035528475	rod	1.6,  1.6	0.34,  0.34	bm1	Methanobrevibacter curvatus	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	genus	N478	1998189.0	30.28	1859.0	90.12697862486893	1.0	-0.331580598293175	0.134106562719946
taxid49897	2.0346989949375804	1.0	1.33624946589146	6.39219541476244	2.05	1.0	1.3482668471656194	6.440264939859075	rods	1.8,  2.3	1.0,  1.0	bm5	Mycobacterium hodleri	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N5918	5402402.0	66.31	5375.0	91.22640494362749	1.0	-0.158518930170475	0.0597782309414556
taxid50052	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma crocodyli	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid50715	0.9797958971132712	0.8366600265340756	0.385344970748134	2.5753396198427985	1.0	0.85	0.4066726240225036	2.670353755551324	coccus-shaped	0.8,  1.2	0.7,  1.0	bacdive	Acidisphaera rubrifaciens	Acidisphaera	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000964365	3862273.0	70.29	4517.0	91.7969289068898	1.0	-0.088274074707531	0.0357053867804061
taxid51160	4.999999999999999	0.2	0.1549852375770964	3.141592653589793	5.0	0.2	0.1549852375770964	3.141592653589793	helical	5.0,  5.0	0.2,  0.2	bm4	Treponema maltophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000413055	2530388.0	47.88	2290.0	92.41238893007711	2.0	-0.0650736065049489	0.0276480317373961
taxid51173	2.449489742783178	0.5916079783099616	0.6191297485464544	4.55260027262307	3.5	0.6	0.9330530181161686	6.5973445725385655	rod-shaped	1.0,  6.0	0.5,  0.7	bacdive	Ureibacillus thermosphaericus	Ureibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000284835	2846106.0	35.58	2771.0	85.20705131853839	0.0	-0.725727579503946	0.270841146403188
taxid51362	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasmopsis adleri	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid51363	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma auris	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid51364	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma cottewii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid51365	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma yeatsii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid51589	0.7071067811865476	0.3	0.0429138495837045	0.666432440723755	0.75	0.3	0.0459457925587507	0.7068583470577035	rod	0.5,  1.0	0.3,  0.3	bm1	Haloarcula hispanica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	species	G000223905	3890005.0	62.45	3908.0	87.22531204972745	3.0	-0.195072070429643	0.0846144791735737
taxid52584	4.69041575982343	0.282842712474619	0.2887836699493171	4.167793630437726	6.5	0.3	0.4523893421169303	6.1261056745000975	helical	2.0,  11.0	0.2,  0.4	bm4	Brachyspira pilosicoli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	species	G000325665	2555556.0	27.92	2386.0	88.6578889290628	1.0	-0.191690621307488	0.113511306272962
taxid52603	2.3	0.9	1.2723450247038663	6.503096792930871	2.3	0.9	1.2723450247038663	6.503096792930871	rod-shaped	2.3,  2.3	0.9,  0.9	bacdive	Sagittula stellata	Sagittula	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000169415	5262893.0	65.05	5015.0	88.86781471711471	2.0	-0.35165922558855	0.133950353052741
taxid52605	8.944271909999157	8.944271909999157	374.6567856555053	251.3274122871833	9.0	9.0	381.7035074111599	254.46900494077323	sphere/spheroid	8.0,  10.0	8.0,  10.0	pcc		Myxosarcina	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria	genus	G000756305	7069859.0	40.1	6515.0	84.92511661123652	2.0	-0.0598552272767512	0.0280110961237405
taxid52607	25.0	25.0	8181.230868723421	1963.4954084936212	25.0	25.0	8181.230868723419	1963.4954084936207	sphere/spheroid	25.0,  25.0	25.0,  25.0	pcc		Xenococcus	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria	genus	G000332055	5929641.0	39.68	5361.0	86.24307947142162	1.0	-0.073626218207558	0.0356993458578586
taxid52699	1.8165902124584952	0.447213595499958	0.2619332741986674	2.552241936948568	1.85	0.45	0.2703733177495716	2.615375884113503	rods	1.5,  2.2	0.4,  0.5	bm5	Aeromicrobium fastidiosum	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N4713	3571516.0	71.11	3521.0	92.9561275910437	1.0	-0.214376896986152	0.0843630493701124
taxid52764	1.414213562373095	0.6324555320336759	0.3780577053771959	2.8099258924162904	1.5	0.65	0.4258494291787914	3.0630528372500483	rod-shaped	1.0,  2.0	0.5,  0.8	bacdive	Bartonella alsatica	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000280015	1673902.0	36.88	1385.0	77.45614737302424	3.0	-0.17581964685247	0.0754404631283594
taxid52765	5.130302135352264	0.8366600265340756	2.6672049544259235	13.484716959790829	6.1	0.85	3.3006685066012507	16.289157908863075	rod-shaped	2.8,  9.4	0.7,  1.0	bacdive	Caldicellulosiruptor kristjanssonii	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria	species	G000166695	2802443.0	36.1	2691.0	87.69619935177985	3.0	-0.172477221703159	0.0788898585350891
taxid52766	2.29128784747792	0.7	0.7919937109246765	5.038805148227342	2.5	0.7	0.8723155601467657	5.497787143782138	rod-shaped	1.5,  3.5	0.7,  0.7	bacdive	Caldicellulosiruptor lactoaceticus	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria	species	G000193435	2674809.0	36.13	2594.0	87.25598724993074	3.0	-0.168065713180449	0.0776321552995843
taxid52767	4.999999999999999	0.7	1.83442831030864	10.995574287564274	5.0	0.7	1.83442831030864	10.995574287564276	rods	5.0,  5.0	0.7,  0.7	bm5	Actinomyces denticolens	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	family	N4377	2225110.0	56.57	1933.0	89.62339779677353	1.0	-0.378394046278075	0.127202937760315
taxid52768	4.486646854834912	0.9486832980505138	2.9478955436598366	13.371896759044168	4.699999999999999	0.95	3.1070024094768303	14.027211198278424	rods	3.3,  6.1, 3.3,  6.1	0.9,  1.0, 0.9,  1.0	bacdive, bm5	Schaalia georgiae	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	genus	N8032	2214851.0	65.45	1835.0	89.0174764970814	2.0	-0.313962908967497	0.103820502502117
taxid52771	2.7386127875258306	0.8	1.24253564373775	6.882884651454572	3.25	0.8	1.499586893313528	8.168140899333462	rods	1.5,  5.0	0.8,  0.8	bm5	Actinomyces howellii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	family	N4377	2225110.0	56.57	1933.0	89.62339779677353	1.0	-0.378394046278075	0.127202937760315
taxid52773	1.6431676725154984	0.6708203932499369	0.5017142267422714	3.4628845414370333	1.95	0.7	0.6606507551111535	4.288273972150067	rods	0.9,  3.0, 0.9,  3.0	0.5,  0.9, 0.5,  0.9	bacdive, bm5	Schaalia meyeri	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	species	G001262055	2049088.0	65.51	1763.0	89.17669714526659	3.0	-0.309594429816051	0.10145721397621
taxid52774	0.8	0.56	0.1510645299454164	1.4074335088082277	0.8	0.56	0.1510645299454164	1.4074335088082277	rods	0.8,  0.8	0.56,  0.56	bm5	Actinomyces slackii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	species	G000428685	3171092.0	70.14	2611.0	88.48929643163932	0.0	-0.300006926252626	0.103658337610562
taxid53245	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	1.75	0.5	0.3108867730114899	2.748893571891069	vibrio-shaped	1.5,  2.0	0.5,  0.5	bacdive	Desulfonatronovibrio hydrogenovorans	Desulfonatronovibrio	Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	species	G000686525	2939696.0	50.35	2745.0	90.15360771998192	1.0	-0.106724796542754	0.0444977500855589
taxid53254	1.4966629547095769	0.85	0.6885041036222898	3.99661954190326	1.5	0.85	0.6903977105498319	4.005530633326986	rod-shaped	1.4,  1.6	0.85,  0.85	bacdive	Bosea thiooxidans	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001420315	5460905.0	67.34	5189.0	88.88114698937264	1.0	-0.300503578262463	0.116926540056951
taxid53358	8.660254037844386	8.660254037844386	340.08738079391577	235.6194490192344	10.0	10.0	523.5987755982989	314.1592653589793	sphere	5.0,  15.0	5.0,  15.0	bm5	Intrasporangium calvum	Intrasporangium	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000184685	4024382.0	70.7	3655.0	90.62293291243226	2.0	-0.242351829521679	0.0914507035474731
taxid53376	2.449489742783178	0.6324555320336759	0.7032993096584776	4.866934411168334	2.5	0.65	0.7576801532142133	5.105088062083414	coccus-bacilli	2.0,  3.0	0.5,  0.8	bm5	Mycobacterium heidelbergense	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N5918	5402402.0	66.31	5375.0	91.22640494362749	1.0	-0.158518930170475	0.0597782309414556
taxid53388	1.0488088481701516	1.0488088481701516	0.604070531612409	3.455751918948773	1.35	1.35	1.288249337512665	5.725552611167398	coccus	0.5,  2.2	0.5,  2.2	bm5	Microlunatus antarcticus	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	G000270245	5683123.0	67.27	5200.0	89.92077067485607	1.0	-0.268768147229517	0.0911655794345787
taxid53418	4.999999999999999	0.15	0.0874737204483906	2.356194490192345	5.0	0.15	0.0874737204483907	2.356194490192345	helical	5.0,  5.0	0.15,  0.15	bm4	Treponema lecithinolyticum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000468055	2340885.0	43.78	2069.0	94.14413779403942	1.0	-0.0579190800785601	0.0287447798057564
taxid53419	9.486832980505138	0.1697056274847714	0.2133075562550062	5.057866606349323	10.5	0.1699999999999999	0.2370428522906984	5.60774288665778	helical	6.0,  15.0	0.16,  0.18	bm4	Treponema socranskii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N2435	2804628.0	49.16	2528.0	90.9130194806584	1.0	-0.0948597720387734	0.0455807344069967
taxid53432	1.2409673645990855	0.8774964387392122	0.5735926030715142	3.4210198623819426	1.25	0.9	0.6043638867343365	3.5342917352885173	rods	1.1,  1.4	0.7,  1.1	bm5	Nocardia uniformis	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N7606	7487747.5	68.305	6814.0	88.74188675773385	1.0	-0.3634524942891725	0.12411350927042951
taxid53435	10.95445115010332	0.18	0.2772300143542654	6.194596186309115	13.0	0.18	0.3292828923933605	7.351326809400116	helical	6.0,  20.0	0.18,  0.18	bm4	Treponema paraluiscuniculi	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122
taxid53458	0.6	0.6	0.1130973355292325	1.1309733552923256	0.75	0.75	0.2208932334555323	1.7671458676442586	coccus	0.3,  1.2	0.3,  1.2	bm5	Janibacter limosus	Janibacter	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	genus	N5947	3388469.5	70.625	3339.5	91.35747155577064	1.0	-0.255577993412006	0.09704803145086599
taxid53461	1.5491933384829668	1.5491933384829668	1.9467737644673333	7.539822368615504	1.9	1.9	3.5913640018287314	11.341149479459151	sphere	0.8,  3.0	0.8,  3.0	bm5	Nakamurella multipartita	Nakamurella	Nakamurellaceae	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria	species	G000024365	6060298.0	70.92	5465.0	89.80370272220937	2.0	-0.187694954868552	0.0773569137777929
taxid53558	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasmopsis edwardii	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid53635	1.224744871391589	0.3741657386773941	0.1209538415820335	1.4396586137792404	1.25	0.375	0.1242524438187369	1.4726215563702154	rod-shaped	1.0,  1.5	0.35,  0.4	bacdive	Acidimicrobium ferrooxidans	Acidimicrobium	Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria	species	G000023265	2158157.0	68.29	2056.0	91.19711865262816	2.0	-0.0414790297494745	0.0133001460418339
taxid54120	1.8708286933869709	1.414213562373095	2.198210349941688	8.31187288206608	2.25	1.5	3.0925052683774528	10.602875205865551	disk	1.0,  3.5	1.0,  2.0	bm1	Methanolacinia petrolearia	Methanolacinia	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	species	G000147875	2843290.0	47.4	2821.0	88.2014497290111	2.0	-0.33190947371455	0.142308657435951
taxid54248	1.5	1.5	1.7671458676442586	7.0685834705770345	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	1.5,  1.5	1.5,  1.5	bm1	Hyperthermus butylicus	Hyperthermus	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000015145	1667163.0	53.74	1828.0	85.6706872693312	1.0	-0.142801871156662	0.0560550397267657
taxid54252	1.3228756555322954	1.3228756555322954	1.2121481286346372	5.497787143782139	1.6	1.6	2.1446605848506324	8.042477193189871	spherical	0.7,  2.5	0.7,  2.5	bm1	Pyrolobus fumarii	Pyrolobus	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000223395	1843267.0	54.9	2037.0	89.04038318919613	1.0	-0.206297978553128	0.0868582620288558
taxid54254	0.4	0.4	0.0335103216382911	0.5026548245743669	0.5	0.5	0.0654498469497873	0.7853981633974483	coccus-shaped	0.2,  0.8	0.2,  0.8	bacdive	Thermosphaera aggregans	Thermosphaera	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000092185	1316595.0	46.73	1415.0	92.0772902828888	1.0	-0.144411617995793	0.0592471161706637
taxid54259	1.897366596101028	1.897366596101028	3.5764517756865963	11.309733552923255	2.1	2.1	4.849048260815845	13.854423602330987	coccus-shaped	1.2,  3.0	1.2,  3.0	bacdive	Ignicoccus islandicus	Ignicoccus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G001481685	1394664.0	44.9	1544.0	91.58098294643013	1.0	-0.0866708998094878	0.0394583504583219
taxid54298	4.999999999999999	4.999999999999999	65.44984694978734	78.53981633974483	5.0	5.0	65.44984694978736	78.53981633974483	sphere/spheroid	5.0,  5.0, 5.0,  5.0, 5.0,  5.0, 5.0,  5.0, 5.0,  5.0	5.0,  5.0, 5.0,  5.0, 5.0,  5.0, 5.0,  5.0, 5.0,  5.0	pcc		Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	genus	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0	-0.0794710817926261	0.0400954613092557
taxid54299	4.999999999999999	4.999999999999999	65.44984694978734	78.53981633974483	5.0	5.0	65.44984694978736	78.53981633974483	sphere/spheroid	5.0,  5.0	5.0,  5.0	pcc	Chroococcidiopsis thermalis	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	species	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0	-0.0794710817926261	0.0400954613092557
taxid54302	11.401754250991385	11.401754250991385	776.0927935139324	408.4070449666733	11.5	11.5	796.3282878380627	415.4756284372501	sphere/spheroid	10.0,  13.0	10.0,  13.0	pcc		Dermocarpella	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria	family	G000317575	5544990.0	36.22	4986.0	83.81831166512474	2.0	-0.0634904535130894	0.0327672428656544
taxid55206	12.247448713915889	0.3872983346207417	1.427659388897196	14.901882398694154	17.5	0.4	2.1823596966937098	21.991148575128552	spiral	5.0,  30.0	0.3,  0.5	bm4	Sediminispirochaeta smaragdinae	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000143985	4653970.0	48.97	4288.0	93.30079480529528	2.0	-0.110158033651017	0.0441712240454097
taxid55602	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma buccale	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid55604	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasmopsis primatum	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid55966	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma haemomuris	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid55969	1.224744871391589	0.2449489742783178	0.0538670928667981	0.9424777960769376	1.25	0.25	0.0572686160810639	0.9817477042468103	rods	1.0,  1.5	0.2,  0.3	bm5	Leucobacter komagatae	Leucobacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000834055	3669365.0	65.31	3362.0	90.91172450819148	0.0	-0.483805619542423	0.162377955791421
taxid56119	1.6124515496597098	0.4	0.1858714768880713	2.0262663770721687	1.65	0.5	0.2912518189265537	2.59181393921158	rod-shaped	1.3,  2.0	0.2,  0.8	bacdive	Castellaniella denitrificans	Castellaniella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	G000612685	3952818.0	68.94	3530.0	90.4378850733831	2.0	-0.240574389895846	0.0809722489804157
taxid56142	0.4898979485566356	0.1581138830084189	0.0085842707818602	0.2433467205584167	0.55	0.275	0.0272230457156771	0.4751658888554563	spherical	0.3,  0.8	0.05,  0.5	bm4	Mycoplasma faucium	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
taxid56146	9.486832980505138	0.316227766016838	0.7368152963798779	9.42477796076938	16.5	0.35	1.5762613890152035	18.14269757448105	helical	3.0,  30.0	0.2,  0.5	bm4	Borreliella tanukii	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N597	1127042.0	28.09	1576.0	83.46814797761934	2.0	-0.0539590969610426	0.0236073327833568
taxid56636	0.8944271909999159	0.8944271909999159	0.3746567856555053	2.5132741228718345	0.9	0.9	0.3817035074111599	2.5446900494077327	coccus-shaped	0.8,  1.0	0.8,  1.0	bacdive	Aeropyrum pernix	Aeropyrum	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000011125	1669696.0	56.31	1718.0	89.03968147495112	1.0	-0.0616348772727244	0.0294953294622836
taxid56812	1.75	0.65	0.508807110187647	3.573561643458389	1.75	0.65	0.508807110187647	3.573561643458389	rod-shaped	1.75,  1.75	0.65,  0.65	bacdive	Shewanella frigidimarina	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000014705	4845257.0	41.58	4124.0	84.62436564252422	9.0	-0.465326314989279	0.196288406835817
